position_txt,lane,racer_no,racer_name,time,course,st_time,tactic,stadium,race_title,date_label,race_no,source_file
１,3,3532,柴田 光,"1'50""8",3,.15,抜き,若松,ビッグベアーズカップ,5月20日最終日,6,download/wakamatsu_off_raceresult_html/wakamatsu_raceresult_20_20250520_6.html
２,1,4930,佐藤 悠,"1'52""3",1,.21,,若松,ビッグベアーズカップ,5月20日最終日,6,download/wakamatsu_off_raceresult_html/wakamatsu_raceresult_20_20250520_6.html
３,4,3107,平岡 重典,"1'53""5",4,.23,,若松,ビッグベアーズカップ,5月20日最終日,6,download/wakamatsu_off_raceresult_html/wakamatsu_raceresult_20_20250520_6.html
４,2,3963,原田 秀弥,"1'54""3",2,.13,,若松,ビッグベアーズカップ,5月20日最終日,6,download/wakamatsu_off_raceresult_html/wakamatsu_raceresult_20_20250520_6.html
５,5,4711,前出 達吉,,5,.15,,若松,ビッグベアーズカップ,5月20日最終日,6,download/wakamatsu_off_raceresult_html/wakamatsu_raceresult_20_20250520_6.html
６,6,4315,山崎 昂介,,6,.25,,若松,ビッグベアーズカップ,5月20日最終日,6,download/wakamatsu_off_raceresult_html/wakamatsu_raceresult_20_20250520_6.html
