position_txt,lane,racer_no,racer_name,time,course,st_time,tactic,stadium,race_title,date_label,race_no,source_file
１,5,4287,今井 貴士,"1'49""9",5,.08,まくり差し,若松,スポーツニッポン杯ＧＷ特選競走,4月25日初日,12,download/wakamatsu_off_raceresult_html/wakamatsu_raceresult_20_20240425_12.html
２,3,4590,渡邉 優美,"1'50""3",3,.07,,若松,スポーツニッポン杯ＧＷ特選競走,4月25日初日,12,download/wakamatsu_off_raceresult_html/wakamatsu_raceresult_20_20240425_12.html
３,1,3257,田頭 実,"1'53""4",1,.03,,若松,スポーツニッポン杯ＧＷ特選競走,4月25日初日,12,download/wakamatsu_off_raceresult_html/wakamatsu_raceresult_20_20240425_12.html
４,2,4504,前田 将太,"1'53""6",2,.09,,若松,スポーツニッポン杯ＧＷ特選競走,4月25日初日,12,download/wakamatsu_off_raceresult_html/wakamatsu_raceresult_20_20240425_12.html
５,4,4371,西山 貴浩,,4,.08,,若松,スポーツニッポン杯ＧＷ特選競走,4月25日初日,12,download/wakamatsu_off_raceresult_html/wakamatsu_raceresult_20_20240425_12.html
６,6,4848,仲谷 颯仁,,6,.14,,若松,スポーツニッポン杯ＧＷ特選競走,4月25日初日,12,download/wakamatsu_off_raceresult_html/wakamatsu_raceresult_20_20240425_12.html
