position_txt,lane,racer_no,racer_name,time,course,st_time,tactic,stadium,race_title,date_label,race_no,source_file
１,6,4124,池田 雄一,"1'49""7",5,.09,まくり差し,若松,ギラヴァンツ北九州杯,6月5日４日目,2,download/wakamatsu_off_raceresult_html/wakamatsu_raceresult_20_20240605_2.html
２,2,5239,上野 俊樹,"1'51""6",2,.06,,若松,ギラヴァンツ北九州杯,6月5日４日目,2,download/wakamatsu_off_raceresult_html/wakamatsu_raceresult_20_20240605_2.html
３,5,4327,加藤 翔,"1'54""0",4,.07,,若松,ギラヴァンツ北九州杯,6月5日４日目,2,download/wakamatsu_off_raceresult_html/wakamatsu_raceresult_20_20240605_2.html
４,1,3699,富永 正人,"1'55""2",1,.11,,若松,ギラヴァンツ北九州杯,6月5日４日目,2,download/wakamatsu_off_raceresult_html/wakamatsu_raceresult_20_20240605_2.html
５,3,3401,上田 隆章,,3,.04,,若松,ギラヴァンツ北九州杯,6月5日４日目,2,download/wakamatsu_off_raceresult_html/wakamatsu_raceresult_20_20240605_2.html
６,4,5337,出畑 孝成,,6,.11,,若松,ギラヴァンツ北九州杯,6月5日４日目,2,download/wakamatsu_off_raceresult_html/wakamatsu_raceresult_20_20240605_2.html
