position_txt,lane,racer_no,racer_name,time,course,st_time,tactic,stadium,race_title,date_label,race_no,source_file
１,5,4245,高橋 直哉,"1'52""0",5,.09,まくり差し,若松,唐十杯,6月27日３日目,6,download/wakamatsu_off_raceresult_html/wakamatsu_raceresult_20_20240627_6.html
２,3,3866,木山 誠一,"1'53""0",3,.06,,若松,唐十杯,6月27日３日目,6,download/wakamatsu_off_raceresult_html/wakamatsu_raceresult_20_20240627_6.html
３,2,4057,松井 賢治,"1'53""5",2,.08,,若松,唐十杯,6月27日３日目,6,download/wakamatsu_off_raceresult_html/wakamatsu_raceresult_20_20240627_6.html
４,6,3804,中渡 修作,"1'54""9",6,.23,,若松,唐十杯,6月27日３日目,6,download/wakamatsu_off_raceresult_html/wakamatsu_raceresult_20_20240627_6.html
５,4,3777,樋口 亮,,4,.07,,若松,唐十杯,6月27日３日目,6,download/wakamatsu_off_raceresult_html/wakamatsu_raceresult_20_20240627_6.html
６,1,3690,河合 三弘,,1,.05,,若松,唐十杯,6月27日３日目,6,download/wakamatsu_off_raceresult_html/wakamatsu_raceresult_20_20240627_6.html
