position_txt,lane,racer_no,racer_name,time,course,st_time,tactic,stadium,race_title,date_label,race_no,source_file
１,1,3681,山谷 央,"1'53""4",1,.14,逃げ,若松,にっぽん未来プロジェクト競走ｉｎ若松,7月15日２日目,2,download/wakamatsu_off_raceresult_html/wakamatsu_raceresult_20_20250715_2.html
２,3,5140,吉田 彩乃,"1'54""1",3,.19,,若松,にっぽん未来プロジェクト競走ｉｎ若松,7月15日２日目,2,download/wakamatsu_off_raceresult_html/wakamatsu_raceresult_20_20250715_2.html
３,5,4472,尾嶋 一広,"1'55""5",4,.31,,若松,にっぽん未来プロジェクト競走ｉｎ若松,7月15日２日目,2,download/wakamatsu_off_raceresult_html/wakamatsu_raceresult_20_20250715_2.html
４,2,4592,小林 孝弘,"1'55""6",2,.19,,若松,にっぽん未来プロジェクト競走ｉｎ若松,7月15日２日目,2,download/wakamatsu_off_raceresult_html/wakamatsu_raceresult_20_20250715_2.html
５,6,4529,嶋 義信,,5,.24,,若松,にっぽん未来プロジェクト競走ｉｎ若松,7月15日２日目,2,download/wakamatsu_off_raceresult_html/wakamatsu_raceresult_20_20250715_2.html
６,4,4969,町田 洸希,,6,.34,,若松,にっぽん未来プロジェクト競走ｉｎ若松,7月15日２日目,2,download/wakamatsu_off_raceresult_html/wakamatsu_raceresult_20_20250715_2.html
