position_txt,lane,racer_no,racer_name,time,course,st_time,tactic,stadium,race_title,date_label,race_no,source_file
１,3,4894,原村 拓也,"1'51""4",3,.17,差し,若松,山口シネマカップ,4月13日５日目,4,download/wakamatsu_off_raceresult_html/wakamatsu_raceresult_20_20240413_4.html
２,2,3885,久田 武,"1'52""6",2,.16,,若松,山口シネマカップ,4月13日５日目,4,download/wakamatsu_off_raceresult_html/wakamatsu_raceresult_20_20240413_4.html
３,4,4049,荒川 健太,"1'53""8",4,.22,,若松,山口シネマカップ,4月13日５日目,4,download/wakamatsu_off_raceresult_html/wakamatsu_raceresult_20_20240413_4.html
４,6,4374,永田 義紘,"1'55""6",6,.17,,若松,山口シネマカップ,4月13日５日目,4,download/wakamatsu_off_raceresult_html/wakamatsu_raceresult_20_20240413_4.html
５,1,3463,乙津 康志,,1,.22,,若松,山口シネマカップ,4月13日５日目,4,download/wakamatsu_off_raceresult_html/wakamatsu_raceresult_20_20240413_4.html
６,5,4357,田中 和也,,5,.18,,若松,山口シネマカップ,4月13日５日目,4,download/wakamatsu_off_raceresult_html/wakamatsu_raceresult_20_20240413_4.html
