position_txt,lane,racer_no,racer_name,time,course,st_time,tactic,stadium,race_title,date_label,race_no,source_file
１,1,4017,向井 美鈴,"1'50""8",1,.09,逃げ,若松,サッポロビールカップ,6月8日最終日,4,download/wakamatsu_off_raceresult_html/wakamatsu_raceresult_20_20250608_4.html
２,5,4163,山崎 裕司,"1'52""4",5,.15,,若松,サッポロビールカップ,6月8日最終日,4,download/wakamatsu_off_raceresult_html/wakamatsu_raceresult_20_20250608_4.html
３,2,4246,喜多 那由夏,"1'54""0",2,.12,,若松,サッポロビールカップ,6月8日最終日,4,download/wakamatsu_off_raceresult_html/wakamatsu_raceresult_20_20250608_4.html
４,3,4495,森 晋太郎,"1'55""0",3,.09,,若松,サッポロビールカップ,6月8日最終日,4,download/wakamatsu_off_raceresult_html/wakamatsu_raceresult_20_20250608_4.html
５,6,3489,大場 敏,,6,.18,,若松,サッポロビールカップ,6月8日最終日,4,download/wakamatsu_off_raceresult_html/wakamatsu_raceresult_20_20250608_4.html
６,4,3226,浦田 信義,,4,.12,,若松,サッポロビールカップ,6月8日最終日,4,download/wakamatsu_off_raceresult_html/wakamatsu_raceresult_20_20250608_4.html
