position_txt,lane,racer_no,racer_name,time,course,st_time,tactic,stadium,race_title,date_label,race_no,source_file
１,1,4437,中田 元泰,"1'51""7",1,.14,逃げ,若松,にっぽん未来プロジェクト競走ｉｎ若松,8月8日３日目,12,download/wakamatsu_off_raceresult_html/wakamatsu_raceresult_20_20240808_12.html
２,6,4331,三好 勇人,"1'53""3",5,.23,,若松,にっぽん未来プロジェクト競走ｉｎ若松,8月8日３日目,12,download/wakamatsu_off_raceresult_html/wakamatsu_raceresult_20_20240808_12.html
３,4,3461,渡邊 哲也,"1'55""6",4,.21,,若松,にっぽん未来プロジェクト競走ｉｎ若松,8月8日３日目,12,download/wakamatsu_off_raceresult_html/wakamatsu_raceresult_20_20240808_12.html
４,5,3853,岩崎 正哉,"1'56""4",6,.27,,若松,にっぽん未来プロジェクト競走ｉｎ若松,8月8日３日目,12,download/wakamatsu_off_raceresult_html/wakamatsu_raceresult_20_20240808_12.html
５,3,3454,井川 大作,,3,.15,,若松,にっぽん未来プロジェクト競走ｉｎ若松,8月8日３日目,12,download/wakamatsu_off_raceresult_html/wakamatsu_raceresult_20_20240808_12.html
６,2,4314,青木 幸太郎,,2,.17,,若松,にっぽん未来プロジェクト競走ｉｎ若松,8月8日３日目,12,download/wakamatsu_off_raceresult_html/wakamatsu_raceresult_20_20240808_12.html
