grade,date,race_name,race_no,3連単オッズ,3連単人気,3連複オッズ,3連複人気,2連単オッズ,2連単人気,2連複オッズ,2連複人気
般,2023-06-30,イオンウォーターカップ,1,1110,1,390,1,570,1,370,1
般,2023-06-30,イオンウォーターカップ,2,2620,8,930,3,880,4,560,3
般,2023-06-30,イオンウォーターカップ,3,1280,3,500,2,400,1,310,1
般,2023-06-30,イオンウォーターカップ,4,4190,12,910,4,1260,4,560,2
般,2023-06-30,イオンウォーターカップ,5,5030,19,400,1,1460,5,290,2
般,2023-06-30,イオンウォーターカップ,6,720,2,490,2,190,1,240,1
般,2023-06-30,イオンウォーターカップ,7,8420,34,2510,15,1950,9,2250,9
般,2023-06-30,イオンウォーターカップ,8,29020,51,8790,16,6300,12,3410,10
般,2023-06-30,イオンウォーターカップ,9,15290,80,2700,17,3830,20,1680,10
般,2023-06-30,イオンウォーターカップ,10,4270,11,590,2,1920,11,1250,7
般,2023-06-30,イオンウォーターカップ,11,2600,8,870,5,620,3,590,3
般,2023-06-30,イオンウォーターカップ,12,1290,5,650,3,490,2,430,2
般,2023-06-29,イオンウォーターカップ,1,12360,60,600,3,4270,19,1510,8
般,2023-06-29,イオンウォーターカップ,2,10400,44,750,2,6550,20,1240,7
般,2023-06-29,イオンウォーターカップ,3,8920,37,460,1,3330,16,1410,7
般,2023-06-29,イオンウォーターカップ,4,5500,20,360,1,1790,7,500,3
般,2023-06-29,イオンウォーターカップ,5,9000,26,1710,5,3860,13,3240,12
般,2023-06-29,イオンウォーターカップ,6,2340,7,1310,5,760,4,360,1
般,2023-06-29,イオンウォーターカップ,7,6880,32,2600,11,1510,6,650,4
般,2023-06-29,イオンウォーターカップ,8,8720,32,470,1,2350,8,470,3
般,2023-06-29,イオンウォーターカップ,9,2320,9,1450,6,270,1,160,1
般,2023-06-29,イオンウォーターカップ,10,4910,13,390,1,2000,6,1240,4
般,2023-06-29,イオンウォーターカップ,11,1640,7,320,1,820,4,190,1
般,2023-06-29,イオンウォーターカップ,12,660,1,370,1,300,1,330,2
般,2023-06-28,イオンウォーターカップ,1,1970,6,1430,8,330,1,140,1
般,2023-06-28,イオンウォーターカップ,2,9740,32,1960,11,2290,8,1960,7
般,2023-06-28,イオンウォーターカップ,3,28340,86,2100,9,6350,25,1300,6
般,2023-06-28,イオンウォーターカップ,4,2030,6,720,3,580,3,430,2
般,2023-06-28,イオンウォーターカップ,5,1450,5,190,1,660,3,170,1
般,2023-06-28,イオンウォーターカップ,6,7660,47,730,3,1960,13,1280,5
般,2023-06-28,イオンウォーターカップ,7,7320,29,2150,8,2190,9,930,6
般,2023-06-28,イオンウォーターカップ,8,2950,11,1810,9,390,2,340,2
般,2023-06-28,イオンウォーターカップ,9,7970,26,1140,7,2780,7,500,3
般,2023-06-28,イオンウォーターカップ,10,1150,4,320,1,420,2,440,2
般,2023-06-28,イオンウォーターカップ,11,1350,4,580,3,310,1,200,1
般,2023-06-28,イオンウォーターカップ,12,3060,11,900,4,720,4,210,1
般,2023-06-27,イオンウォーターカップ,1,880,2,340,2,370,1,170,1
般,2023-06-27,イオンウォーターカップ,2,16930,53,2420,10,1410,7,1210,4
般,2023-06-27,イオンウォーターカップ,3,2460,7,560,2,1010,4,700,3
般,2023-06-27,イオンウォーターカップ,4,1810,1,810,3,710,1,460,2
般,2023-06-27,イオンウォーターカップ,5,14530,30,460,2,5780,11,570,3
般,2023-06-27,イオンウォーターカップ,6,19590,63,2380,7,2480,9,820,5
般,2023-06-27,イオンウォーターカップ,7,3530,14,1470,6,950,4,880,2
般,2023-06-27,イオンウォーターカップ,8,3550,12,1340,7,430,2,370,2
般,2023-06-27,イオンウォーターカップ,9,28600,87,3170,16,5160,20,2180,9
般,2023-06-27,イオンウォーターカップ,10,4100,14,1750,8,470,1,270,1
般,2023-06-27,イオンウォーターカップ,11,42320,74,3240,10,7000,16,820,4
般,2023-06-27,イオンウォーターカップ,12,920,2,500,2,240,1,150,1
レ,2023-06-22,オールレディース北九州市制60周年記念,1,4490,19,1250,5,550,2,300,2
レ,2023-06-22,オールレディース北九州市制60周年記念,2,20210,73,1600,10,5400,22,2000,10
レ,2023-06-22,オールレディース北九州市制60周年記念,3,5910,30,2100,11,1230,6,1620,8
レ,2023-06-22,オールレディース北九州市制60周年記念,4,17130,82,2690,16,3210,17,1010,5
レ,2023-06-22,オールレディース北九州市制60周年記念,5,18630,45,1620,6,9640,20,3990,11
レ,2023-06-22,オールレディース北九州市制60周年記念,6,58140,84,2260,7,22480,26,7480,13
レ,2023-06-22,オールレディース北九州市制60周年記念,7,1290,4,200,1,790,4,620,3
レ,2023-06-22,オールレディース北九州市制60周年記念,8,800,2,200,1,410,2,320,2
レ,2023-06-22,オールレディース北九州市制60周年記念,9,8080,31,1450,7,3200,11,630,3
レ,2023-06-22,オールレディース北九州市制60周年記念,10,26750,58,1330,7,9440,18,5490,14
レ,2023-06-22,オールレディース北九州市制60周年記念,11,6450,23,2070,10,1580,6,1070,5
レ,2023-06-22,オールレディース北九州市制60周年記念,12,4080,12,630,3,1200,6,570,3
レ,2023-06-21,オールレディース北九州市制60周年記念,1,10750,41,1750,9,2440,12,2030,10
レ,2023-06-21,オールレディース北九州市制60周年記念,2,4000,23,480,2,1640,10,900,6
レ,2023-06-21,オールレディース北九州市制60周年記念,3,5740,24,550,2,2450,12,820,3
レ,2023-06-21,オールレディース北九州市制60周年記念,4,13420,59,2160,9,3230,16,1620,12
レ,2023-06-21,オールレディース北九州市制60周年記念,5,1350,4,170,1,540,3,320,1
レ,2023-06-21,オールレディース北九州市制60周年記念,6,5870,28,970,5,2870,14,1000,6
レ,2023-06-21,オールレディース北九州市制60周年記念,7,1040,3,500,2,370,1,310,1
レ,2023-06-21,オールレディース北九州市制60周年記念,8,10980,34,930,5,4570,14,2150,10
レ,2023-06-21,オールレディース北九州市制60周年記念,9,20120,57,2480,10,5140,15,3100,9
レ,2023-06-21,オールレディース北九州市制60周年記念,10,1140,3,290,1,710,3,440,2
レ,2023-06-21,オールレディース北九州市制60周年記念,11,780,2,330,2,270,1,230,1
レ,2023-06-21,オールレディース北九州市制60周年記念,12,9360,40,530,1,1970,6,540,3
レ,2023-06-20,オールレディース北九州市制60周年記念,1,1540,2,450,1,650,2,270,1
レ,2023-06-20,オールレディース北九州市制60周年記念,2,3330,11,280,1,1620,7,500,3
レ,2023-06-20,オールレディース北九州市制60周年記念,3,4410,16,520,3,2330,11,1140,7
レ,2023-06-20,オールレディース北九州市制60周年記念,4,670,3,240,2,240,1,150,1
レ,2023-06-20,オールレディース北九州市制60周年記念,5,950,2,210,1,500,3,250,1
レ,2023-06-20,オールレディース北九州市制60周年記念,6,15460,55,8830,17,1340,5,770,4
レ,2023-06-20,オールレディース北九州市制60周年記念,7,2300,8,400,2,1030,4,610,3
レ,2023-06-20,オールレディース北九州市制60周年記念,8,2920,10,270,1,910,4,140,1
レ,2023-06-20,オールレディース北九州市制60周年記念,9,1030,3,440,3,160,1,150,1
レ,2023-06-20,オールレディース北九州市制60周年記念,10,6950,30,1670,10,2110,9,830,4
レ,2023-06-20,オールレディース北九州市制60周年記念,11,42850,83,8640,18,6680,19,4560,11
レ,2023-06-20,オールレディース北九州市制60周年記念,12,6950,29,1250,7,1150,6,690,3
レ,2023-06-19,オールレディース北九州市制60周年記念,1,13080,50,2800,13,1670,8,1320,6
レ,2023-06-19,オールレディース北九州市制60周年記念,2,750,2,420,2,270,1,420,2
レ,2023-06-19,オールレディース北九州市制60周年記念,3,16380,60,3270,16,2830,12,1440,9
レ,2023-06-19,オールレディース北九州市制60周年記念,4,8670,33,2410,10,1480,7,810,4
レ,2023-06-19,オールレディース北九州市制60周年記念,5,920,3,170,1,530,3,320,2
レ,2023-06-19,オールレディース北九州市制60周年記念,6,920,3,280,1,350,2,190,1
レ,2023-06-19,オールレディース北九州市制60周年記念,7,850,2,340,1,450,2,420,2
レ,2023-06-19,オールレディース北九州市制60周年記念,8,600,1,330,1,220,1,230,1
レ,2023-06-19,オールレディース北九州市制60周年記念,9,910,3,200,1,440,2,140,1
レ,2023-06-19,オールレディース北九州市制60周年記念,10,1930,6,1010,6,430,2,390,2
レ,2023-06-19,オールレディース北九州市制60周年記念,11,5660,15,1360,7,1510,5,2000,5
レ,2023-06-19,オールレディース北九州市制60周年記念,12,18070,47,960,4,7000,17,2310,7
レ,2023-06-18,オールレディース北九州市制60周年記念,1,5130,20,900,4,1620,6,700,2
レ,2023-06-18,オールレディース北九州市制60周年記念,2,5340,24,1100,5,1860,9,920,5
レ,2023-06-18,オールレディース北九州市制60周年記念,3,3610,10,850,6,1590,9,1310,8
レ,2023-06-18,オールレディース北九州市制60周年記念,4,22820,72,2150,10,5230,20,2470,12
レ,2023-06-18,オールレディース北九州市制60周年記念,5,1570,4,820,3,300,1,170,1
レ,2023-06-18,オールレディース北九州市制60周年記念,6,3020,13,380,1,1160,7,460,2
レ,2023-06-18,オールレディース北九州市制60周年記念,7,3470,14,330,2,1880,7,1770,5
レ,2023-06-18,オールレディース北九州市制60周年記念,8,3630,10,1870,7,350,2,290,2
レ,2023-06-18,オールレディース北九州市制60周年記念,9,2140,8,420,2,920,3,600,2
レ,2023-06-18,オールレディース北九州市制60周年記念,10,4110,15,660,3,1930,7,1260,5
レ,2023-06-18,オールレディース北九州市制60周年記念,11,840,2,400,2,240,1,190,1
レ,2023-06-18,オールレディース北九州市制60周年記念,12,27370,47,6640,13,5540,11,2840,7
レ,2023-06-17,オールレディース北九州市制60周年記念,1,17450,64,3840,16,2000,9,1500,8
レ,2023-06-17,オールレディース北九州市制60周年記念,2,2050,7,390,2,1020,5,720,5
レ,2023-06-17,オールレディース北九州市制60周年記念,3,6040,26,1020,4,1670,8,820,4
レ,2023-06-17,オールレディース北九州市制60周年記念,4,3620,14,350,1,1800,7,1010,5
レ,2023-06-17,オールレディース北九州市制60周年記念,5,1130,4,260,2,390,2,130,1
レ,2023-06-17,オールレディース北九州市制60周年記念,6,11390,40,1900,7,2500,9,950,5
レ,2023-06-17,オールレディース北九州市制60周年記念,7,27740,64,4550,14,3480,11,890,3
レ,2023-06-17,オールレディース北九州市制60周年記念,8,2820,10,1510,7,230,1,200,1
レ,2023-06-17,オールレディース北九州市制60周年記念,9,4010,17,330,1,2010,9,640,4
レ,2023-06-17,オールレディース北九州市制60周年記念,10,890,1,390,1,310,1,240,1
レ,2023-06-17,オールレディース北九州市制60周年記念,11,2200,8,580,3,830,3,570,3
レ,2023-06-17,オールレディース北九州市制60周年記念,12,990,2,390,1,390,2,340,2
般,2023-06-13,ミッドナイトレース3rdマンスリーBOATRACE,1,5410,18,2630,8,1140,6,510,3
般,2023-06-13,ミッドナイトレース3rdマンスリーBOATRACE,2,1300,3,490,2,300,1,300,1
般,2023-06-13,ミッドナイトレース3rdマンスリーBOATRACE,3,3820,12,310,1,1520,6,190,1
般,2023-06-13,ミッドナイトレース3rdマンスリーBOATRACE,4,2480,9,310,1,920,4,480,3
般,2023-06-13,ミッドナイトレース3rdマンスリーBOATRACE,5,880,4,170,1,560,3,130,1
般,2023-06-13,ミッドナイトレース3rdマンスリーBOATRACE,6,3140,11,1320,5,340,1,470,2
般,2023-06-13,ミッドナイトレース3rdマンスリーBOATRACE,7,9820,29,1210,5,1680,8,420,2
般,2023-06-13,ミッドナイトレース3rdマンスリーBOATRACE,8,490,1,220,1,250,1,270,1
般,2023-06-13,ミッドナイトレース3rdマンスリーBOATRACE,9,17970,55,2510,13,5500,18,1620,7
般,2023-06-13,ミッドナイトレース3rdマンスリーBOATRACE,10,2480,9,990,5,680,3,910,2
般,2023-06-13,ミッドナイトレース3rdマンスリーBOATRACE,11,4510,16,1840,6,1290,5,950,4
般,2023-06-13,ミッドナイトレース3rdマンスリーBOATRACE,12,2610,9,1730,7,250,1,210,1
般,2023-06-12,ミッドナイトレース3rdマンスリーBOATRACE,1,3810,15,780,4,1370,6,1090,4
般,2023-06-12,ミッドナイトレース3rdマンスリーBOATRACE,2,12390,38,7900,14,450,1,190,1
般,2023-06-12,ミッドナイトレース3rdマンスリーBOATRACE,3,1270,4,380,1,650,3,450,3
般,2023-06-12,ミッドナイトレース3rdマンスリーBOATRACE,4,2230,6,540,2,760,4,340,1
般,2023-06-12,ミッドナイトレース3rdマンスリーBOATRACE,5,610,2,230,1,450,2,180,1
般,2023-06-12,ミッドナイトレース3rdマンスリーBOATRACE,6,52810,63,5280,10,18330,20,6870,10
般,2023-06-12,ミッドナイトレース3rdマンスリーBOATRACE,7,870,3,130,1,450,2,150,1
般,2023-06-12,ミッドナイトレース3rdマンスリーBOATRACE,8,8900,32,680,3,3420,10,920,4
般,2023-06-12,ミッドナイトレース3rdマンスリーBOATRACE,9,1430,4,340,2,680,3,380,2
般,2023-06-12,ミッドナイトレース3rdマンスリーBOATRACE,10,2210,8,580,3,690,3,550,3
般,2023-06-12,ミッドナイトレース3rdマンスリーBOATRACE,11,540,1,280,1,260,1,250,1
般,2023-06-12,ミッドナイトレース3rdマンスリーBOATRACE,12,1510,8,560,3,610,3,580,3
般,2023-06-11,ミッドナイトレース3rdマンスリーBOATRACE,1,1330,3,370,1,650,3,720,5
般,2023-06-11,ミッドナイトレース3rdマンスリーBOATRACE,2,15010,43,2320,8,4820,15,3990,10
