grade,date,race_name,race_no,3連単オッズ,3連単人気,3連複オッズ,3連複人気,2連単オッズ,2連単人気,2連複オッズ,2連複人気
般,2023-08-31,若松夜王S第2戦西日本スポーツ杯海属王決定戦,1,3040,8,540,2,1300,5,240,1
般,2023-08-31,若松夜王S第2戦西日本スポーツ杯海属王決定戦,2,2140,5,750,3,870,4,1080,5
般,2023-08-31,若松夜王S第2戦西日本スポーツ杯海属王決定戦,3,680,1,250,1,410,1,220,1
般,2023-08-31,若松夜王S第2戦西日本スポーツ杯海属王決定戦,4,4170,16,340,2,2190,6,1170,5
般,2023-08-31,若松夜王S第2戦西日本スポーツ杯海属王決定戦,5,4180,15,200,1,1900,6,680,3
般,2023-08-31,若松夜王S第2戦西日本スポーツ杯海属王決定戦,6,2890,11,530,3,790,3,470,2
般,2023-08-31,若松夜王S第2戦西日本スポーツ杯海属王決定戦,7,3290,12,410,2,1050,4,260,1
般,2023-08-31,若松夜王S第2戦西日本スポーツ杯海属王決定戦,8,4840,14,150,1,4240,8,1520,4
般,2023-08-31,若松夜王S第2戦西日本スポーツ杯海属王決定戦,9,3870,16,680,4,1350,5,1020,5
般,2023-08-31,若松夜王S第2戦西日本スポーツ杯海属王決定戦,10,1950,7,400,2,550,3,220,1
般,2023-08-31,若松夜王S第2戦西日本スポーツ杯海属王決定戦,11,2760,10,980,6,320,2,390,2
般,2023-08-31,若松夜王S第2戦西日本スポーツ杯海属王決定戦,12,5240,16,2650,9,430,2,450,2
般,2023-08-30,若松夜王S第2戦西日本スポーツ杯海属王決定戦,1,1740,11,250,2,830,5,390,2
般,2023-08-30,若松夜王S第2戦西日本スポーツ杯海属王決定戦,2,4580,18,1080,5,2240,10,1040,5
般,2023-08-30,若松夜王S第2戦西日本スポーツ杯海属王決定戦,3,1500,4,580,3,600,2,190,1
般,2023-08-30,若松夜王S第2戦西日本スポーツ杯海属王決定戦,4,3310,9,1010,5,840,4,270,1
般,2023-08-30,若松夜王S第2戦西日本スポーツ杯海属王決定戦,5,1460,5,730,3,350,2,370,2
般,2023-08-30,若松夜王S第2戦西日本スポーツ杯海属王決定戦,6,15560,60,2760,12,3790,13,1330,5
般,2023-08-30,若松夜王S第2戦西日本スポーツ杯海属王決定戦,7,850,2,200,1,450,2,110,1
般,2023-08-30,若松夜王S第2戦西日本スポーツ杯海属王決定戦,8,840,4,530,2,150,1,210,1
般,2023-08-30,若松夜王S第2戦西日本スポーツ杯海属王決定戦,9,22700,53,1880,6,4930,12,960,3
般,2023-08-30,若松夜王S第2戦西日本スポーツ杯海属王決定戦,10,1090,1,370,1,280,1,310,1
般,2023-08-30,若松夜王S第2戦西日本スポーツ杯海属王決定戦,11,6860,18,870,6,1380,5,210,1
般,2023-08-30,若松夜王S第2戦西日本スポーツ杯海属王決定戦,12,950,2,450,2,390,3,200,1
ル,2023-08-27,ルーキーS13戦植木通彦カップ23回スカパーJLC,1,1490,7,370,2,540,2,540,2
ル,2023-08-27,ルーキーS13戦植木通彦カップ23回スカパーJLC,2,2220,5,390,2,940,3,260,1
ル,2023-08-27,ルーキーS13戦植木通彦カップ23回スカパーJLC,3,9740,36,1900,7,670,2,440,3
