grade,date,race_name,race_no,3連単オッズ,3連単人気,3連複オッズ,3連複人気,2連単オッズ,2連単人気,2連複オッズ,2連複人気
般,2024-08-27,福岡ソフトバンクホークス杯,1,15120,39,3040,10,1260,7,1230,6
般,2024-08-27,福岡ソフトバンクホークス杯,2,2200,5,680,2,410,1,330,1
般,2024-08-27,福岡ソフトバンクホークス杯,3,3620,21,1290,5,700,2,330,1
般,2024-08-27,福岡ソフトバンクホークス杯,4,10010,46,1060,7,2360,14,900,4
般,2024-08-27,福岡ソフトバンクホークス杯,5,870,2,440,2,340,1,220,1
般,2024-08-27,福岡ソフトバンクホークス杯,6,19910,47,4070,12,1970,5,280,1
般,2024-08-27,福岡ソフトバンクホークス杯,7,930,1,270,1,290,1,230,1
般,2024-08-27,福岡ソフトバンクホークス杯,8,820,2,420,2,160,1,150,1
般,2024-08-27,福岡ソフトバンクホークス杯,9,11540,28,1110,5,5730,11,2770,7
般,2024-08-27,福岡ソフトバンクホークス杯,10,660,1,200,1,340,1,180,1
般,2024-08-27,福岡ソフトバンクホークス杯,11,1100,2,360,2,370,2,190,1
般,2024-08-27,福岡ソフトバンクホークス杯,12,3370,12,450,1,1120,4,290,1
般,2024-08-26,福岡ソフトバンクホークス杯,1,4560,13,870,3,790,3,230,1
般,2024-08-26,福岡ソフトバンクホークス杯,2,2180,1,560,2,1210,6,680,4
般,2024-08-26,福岡ソフトバンクホークス杯,3,3000,11,910,4,480,2,320,1
般,2024-08-26,福岡ソフトバンクホークス杯,4,1870,6,810,4,520,2,230,1
般,2024-08-26,福岡ソフトバンクホークス杯,5,2260,7,920,5,400,2,240,2
般,2024-08-26,福岡ソフトバンクホークス杯,6,1850,7,1000,4,730,3,500,3
般,2024-08-26,福岡ソフトバンクホークス杯,7,17750,48,910,4,4680,15,1920,7
般,2024-08-26,福岡ソフトバンクホークス杯,8,3470,11,1940,6,330,2,260,2
般,2024-08-26,福岡ソフトバンクホークス杯,9,3630,12,270,1,1350,5,1800,6
般,2024-08-26,福岡ソフトバンクホークス杯,10,13220,41,680,4,5230,15,2160,9
般,2024-08-26,福岡ソフトバンクホークス杯,11,740,1,410,1,340,1,160,1
般,2024-08-26,福岡ソフトバンクホークス杯,12,1580,6,380,2,550,3,550,3
般,2024-08-20,日刊スポーツ杯お盆特選競走,1,2750,5,410,1,1520,8,430,1
般,2024-08-20,日刊スポーツ杯お盆特選競走,2,6920,28,880,5,2390,12,1600,7
般,2024-08-20,日刊スポーツ杯お盆特選競走,3,6310,24,1150,7,2580,9,1690,5
般,2024-08-20,日刊スポーツ杯お盆特選競走,4,2060,4,400,1,740,3,470,1
般,2024-08-20,日刊スポーツ杯お盆特選競走,5,14570,36,4750,10,3970,11,1050,4
般,2024-08-20,日刊スポーツ杯お盆特選競走,6,2790,9,1000,5,400,1,140,1
般,2024-08-20,日刊スポーツ杯お盆特選競走,7,1690,4,620,2,620,3,370,2
般,2024-08-20,日刊スポーツ杯お盆特選競走,8,85420,73,15880,19,13810,20,9130,12
般,2024-08-20,日刊スポーツ杯お盆特選競走,9,26900,65,1530,8,8260,23,3420,11
般,2024-08-20,日刊スポーツ杯お盆特選競走,10,9740,33,1680,10,4240,15,1240,6
般,2024-08-20,日刊スポーツ杯お盆特選競走,11,22730,54,4290,11,4320,12,1740,6
般,2024-08-20,日刊スポーツ杯お盆特選競走,12,1180,2,670,3,280,1,280,1
般,2024-08-19,日刊スポーツ杯お盆特選競走,1,850,2,400,2,190,1,220,1
般,2024-08-19,日刊スポーツ杯お盆特選競走,2,1860,5,510,2,820,3,290,1
般,2024-08-19,日刊スポーツ杯お盆特選競走,3,4260,12,370,1,1660,5,1050,4
般,2024-08-19,日刊スポーツ杯お盆特選競走,4,1190,6,540,3,330,1,380,2
般,2024-08-19,日刊スポーツ杯お盆特選競走,5,2780,9,180,1,1570,5,420,3
般,2024-08-19,日刊スポーツ杯お盆特選競走,6,3550,10,1210,8,500,1,500,2
般,2024-08-19,日刊スポーツ杯お盆特選競走,7,12250,28,5080,11,1820,5,1480,4
般,2024-08-19,日刊スポーツ杯お盆特選競走,8,29600,55,3470,10,6990,16,3210,7
般,2024-08-19,日刊スポーツ杯お盆特選競走,9,2470,8,550,3,750,3,940,3
般,2024-08-19,日刊スポーツ杯お盆特選競走,10,7250,16,230,2,4680,10,1590,4
般,2024-08-19,日刊スポーツ杯お盆特選競走,11,440,1,190,1,200,1,200,1
般,2024-08-19,日刊スポーツ杯お盆特選競走,12,4770,16,1400,6,1540,5,1110,4
般,2024-08-18,日刊スポーツ杯お盆特選競走,1,9410,35,1890,8,2220,8,880,4
般,2024-08-18,日刊スポーツ杯お盆特選競走,2,8010,25,750,3,6260,15,2610,8
般,2024-08-18,日刊スポーツ杯お盆特選競走,3,13980,49,3720,14,3940,14,3750,12
般,2024-08-18,日刊スポーツ杯お盆特選競走,4,8350,30,1630,7,1530,3,1230,5
般,2024-08-18,日刊スポーツ杯お盆特選競走,5,770,2,400,2,230,1,210,1
般,2024-08-18,日刊スポーツ杯お盆特選競走,6,1930,6,520,2,470,1,280,1
般,2024-08-18,日刊スポーツ杯お盆特選競走,7,680,2,190,1,360,1,230,1
般,2024-08-18,日刊スポーツ杯お盆特選競走,8,290,1,160,1,240,1,140,1
般,2024-08-18,日刊スポーツ杯お盆特選競走,9,3520,13,860,4,1050,3,280,1
般,2024-08-18,日刊スポーツ杯お盆特選競走,10,4150,19,1720,8,1100,5,1040,3
般,2024-08-18,日刊スポーツ杯お盆特選競走,11,4300,14,1080,6,1780,5,760,3
般,2024-08-18,日刊スポーツ杯お盆特選競走,12,590,1,220,1,270,1,190,1
般,2024-08-17,日刊スポーツ杯お盆特選競走,1,1230,5,460,2,540,2,470,3
般,2024-08-17,日刊スポーツ杯お盆特選競走,2,5670,23,1920,9,650,3,590,3
般,2024-08-17,日刊スポーツ杯お盆特選競走,3,9320,32,640,2,3320,10,1200,6
般,2024-08-17,日刊スポーツ杯お盆特選競走,4,2080,5,720,2,510,2,530,3
般,2024-08-17,日刊スポーツ杯お盆特選競走,5,1000,4,190,1,510,2,240,2
般,2024-08-17,日刊スポーツ杯お盆特選競走,6,5350,19,1970,6,1390,5,800,4
般,2024-08-17,日刊スポーツ杯お盆特選競走,7,810,1,260,1,440,2,180,1
般,2024-08-17,日刊スポーツ杯お盆特選競走,8,690,2,400,2,190,1,130,1
般,2024-08-17,日刊スポーツ杯お盆特選競走,9,30700,47,960,4,8150,14,1530,4
般,2024-08-17,日刊スポーツ杯お盆特選競走,10,590,2,300,2,200,1,170,1
般,2024-08-17,日刊スポーツ杯お盆特選競走,11,4550,22,370,1,1970,10,720,5
般,2024-08-17,日刊スポーツ杯お盆特選競走,12,580,1,260,1,220,1,170,1
般,2024-08-16,日刊スポーツ杯お盆特選競走,1,21020,64,1500,5,5610,17,3460,13
般,2024-08-16,日刊スポーツ杯お盆特選競走,2,9640,41,2360,12,950,4,420,2
般,2024-08-16,日刊スポーツ杯お盆特選競走,3,8690,36,860,4,2890,14,860,3
般,2024-08-16,日刊スポーツ杯お盆特選競走,4,3060,10,1360,6,390,1,190,1
般,2024-08-16,日刊スポーツ杯お盆特選競走,5,8270,25,4150,12,840,3,660,4
般,2024-08-16,日刊スポーツ杯お盆特選競走,6,5400,19,660,2,1720,9,750,3
般,2024-08-16,日刊スポーツ杯お盆特選競走,7,27060,58,3140,11,6430,18,5600,11
般,2024-08-16,日刊スポーツ杯お盆特選競走,8,1040,4,700,3,170,1,140,1
般,2024-08-16,日刊スポーツ杯お盆特選競走,9,6140,23,570,3,2030,8,610,3
般,2024-08-16,日刊スポーツ杯お盆特選競走,10,1660,4,230,1,800,4,330,2
般,2024-08-16,日刊スポーツ杯お盆特選競走,11,1660,7,940,6,340,2,310,2
般,2024-08-16,日刊スポーツ杯お盆特選競走,12,1420,4,710,4,390,2,250,1
般,2024-08-15,日刊スポーツ杯お盆特選競走,1,1750,3,650,2,610,2,630,2
般,2024-08-15,日刊スポーツ杯お盆特選競走,2,34270,94,2010,10,7200,22,2270,10
般,2024-08-15,日刊スポーツ杯お盆特選競走,3,1010,1,390,1,450,1,350,2
般,2024-08-15,日刊スポーツ杯お盆特選競走,4,1030,1,340,1,540,1,170,1
般,2024-08-15,日刊スポーツ杯お盆特選競走,5,1000,5,380,3,390,3,470,2
般,2024-08-15,日刊スポーツ杯お盆特選競走,6,10360,39,2280,10,1680,8,760,5
般,2024-08-15,日刊スポーツ杯お盆特選競走,7,3130,9,210,1,1450,6,980,3
般,2024-08-15,日刊スポーツ杯お盆特選競走,8,2970,10,1810,6,240,2,420,2
般,2024-08-15,日刊スポーツ杯お盆特選競走,9,10520,30,350,1,5010,13,2730,8
般,2024-08-15,日刊スポーツ杯お盆特選競走,10,2880,13,440,2,1380,8,970,4
般,2024-08-15,日刊スポーツ杯お盆特選競走,11,1050,2,360,1,320,1,400,3
般,2024-08-15,日刊スポーツ杯お盆特選競走,12,1140,4,590,3,300,1,280,2
般,2024-08-12,にっぽん未来プロジェクト競走in若松,1,900,1,420,1,390,2,580,2
般,2024-08-12,にっぽん未来プロジェクト競走in若松,2,5640,18,1230,6,740,3,300,1
般,2024-08-12,にっぽん未来プロジェクト競走in若松,3,800,1,420,1,580,1,270,1
般,2024-08-12,にっぽん未来プロジェクト競走in若松,4,26660,81,2150,8,8440,22,2690,9
般,2024-08-12,にっぽん未来プロジェクト競走in若松,5,3110,11,790,3,580,2,230,1
般,2024-08-12,にっぽん未来プロジェクト競走in若松,6,2450,9,610,4,790,4,600,4
般,2024-08-12,にっぽん未来プロジェクト競走in若松,7,700,4,300,2,360,2,160,1
般,2024-08-12,にっぽん未来プロジェクト競走in若松,8,1330,7,680,5,500,3,530,3
般,2024-08-12,にっぽん未来プロジェクト競走in若松,9,880,3,280,1,450,2,170,1
般,2024-08-12,にっぽん未来プロジェクト競走in若松,10,5060,16,290,1,2340,8,2040,6
般,2024-08-12,にっぽん未来プロジェクト競走in若松,11,500,1,190,1,290,1,190,1
般,2024-08-12,にっぽん未来プロジェクト競走in若松,12,3020,12,2290,8,330,1,270,2
般,2024-08-11,にっぽん未来プロジェクト競走in若松,1,790,1,440,2,190,1,370,2
般,2024-08-11,にっぽん未来プロジェクト競走in若松,2,650,1,270,1,350,1,140,1
般,2024-08-11,にっぽん未来プロジェクト競走in若松,3,5510,23,590,2,1210,5,930,5
般,2024-08-11,にっぽん未来プロジェクト競走in若松,4,8460,32,1770,9,3040,11,1790,9
般,2024-08-11,にっぽん未来プロジェクト競走in若松,5,1510,5,370,2,610,2,490,3
般,2024-08-11,にっぽん未来プロジェクト競走in若松,6,2870,11,1030,5,500,3,580,3
般,2024-08-11,にっぽん未来プロジェクト競走in若松,7,1540,4,610,3,470,2,140,1
般,2024-08-11,にっぽん未来プロジェクト競走in若松,8,2210,9,990,4,380,2,200,1
般,2024-08-11,にっぽん未来プロジェクト競走in若松,9,670,2,250,1,290,2,260,2
般,2024-08-11,にっぽん未来プロジェクト競走in若松,10,580,2,310,2,250,1,170,1
般,2024-08-11,にっぽん未来プロジェクト競走in若松,11,640,2,290,1,300,2,160,1
般,2024-08-11,にっぽん未来プロジェクト競走in若松,12,1470,6,450,2,250,1,300,1
般,2024-08-10,にっぽん未来プロジェクト競走in若松,1,1160,3,500,3,250,1,350,2
般,2024-08-10,にっぽん未来プロジェクト競走in若松,2,8920,37,600,1,3970,13,580,3
般,2024-08-10,にっぽん未来プロジェクト競走in若松,3,1090,1,200,1,570,2,280,2
般,2024-08-10,にっぽん未来プロジェクト競走in若松,4,3960,15,830,6,1710,6,550,3
般,2024-08-10,にっぽん未来プロジェクト競走in若松,5,2970,10,1270,6,520,3,360,3
般,2024-08-10,にっぽん未来プロジェクト競走in若松,6,2990,11,440,2,1250,4,1270,5
般,2024-08-10,にっぽん未来プロジェクト競走in若松,7,1020,4,320,2,350,2,490,3
般,2024-08-10,にっぽん未来プロジェクト競走in若松,8,15640,34,5140,11,2450,7,1320,4
般,2024-08-10,にっぽん未来プロジェクト競走in若松,9,680,1,240,1,360,2,280,2
般,2024-08-10,にっぽん未来プロジェクト競走in若松,10,3790,14,330,1,1130,5,210,1
般,2024-08-10,にっぽん未来プロジェクト競走in若松,11,640,1,310,1,290,2,310,2
般,2024-08-10,にっぽん未来プロジェクト競走in若松,12,2590,12,1260,8,400,2,330,1
般,2024-08-09,にっぽん未来プロジェクト競走in若松,1,2100,1,670,1,560,1,750,3
