grade,date,race_name,race_no,3連単オッズ,3連単人気,3連複オッズ,3連複人気,2連単オッズ,2連単人気,2連複オッズ,2連複人気
般,2025-01-30,ミッドナイト第42回日本モーターボート選手会会長杯,1,2890,10,860,5,740,3,550,2
般,2025-01-30,ミッドナイト第42回日本モーターボート選手会会長杯,2,7660,27,1190,7,3400,11,1650,6
般,2025-01-30,ミッドナイト第42回日本モーターボート選手会会長杯,3,1920,3,310,1,950,4,380,2
般,2025-01-30,ミッドナイト第42回日本モーターボート選手会会長杯,4,6590,21,2870,9,1670,6,2060,6
般,2025-01-30,ミッドナイト第42回日本モーターボート選手会会長杯,5,570,2,330,2,180,1,220,1
般,2025-01-30,ミッドナイト第42回日本モーターボート選手会会長杯,6,640,1,190,1,380,1,310,2
般,2025-01-30,ミッドナイト第42回日本モーターボート選手会会長杯,7,4130,17,2040,10,290,1,340,2
般,2025-01-30,ミッドナイト第42回日本モーターボート選手会会長杯,8,810,2,520,4,280,1,310,2
般,2025-01-30,ミッドナイト第42回日本モーターボート選手会会長杯,9,3660,15,2550,12,730,2,530,4
般,2025-01-30,ミッドナイト第42回日本モーターボート選手会会長杯,10,830,2,400,2,300,1,230,1
般,2025-01-30,ミッドナイト第42回日本モーターボート選手会会長杯,11,44320,61,9180,15,5680,12,4670,9
般,2025-01-30,ミッドナイト第42回日本モーターボート選手会会長杯,12,96720,97,12240,20,19000,25,6250,14
般,2025-01-28,ミッドナイト第42回日本モーターボート選手会会長杯,1,4920,22,1380,8,2180,7,1470,5
般,2025-01-26,ミッドナイト第42回日本モーターボート選手会会長杯,1,6440,27,2050,8,1240,6,470,2
般,2025-01-26,ミッドナイト第42回日本モーターボート選手会会長杯,2,4190,19,720,4,2850,13,1500,8
般,2025-01-26,ミッドナイト第42回日本モーターボート選手会会長杯,3,2720,10,260,1,1180,6,540,2
般,2025-01-26,ミッドナイト第42回日本モーターボート選手会会長杯,4,1970,6,710,4,550,3,260,1
般,2025-01-26,ミッドナイト第42回日本モーターボート選手会会長杯,5,720,2,290,1,340,2,220,1
般,2025-01-26,ミッドナイト第42回日本モーターボート選手会会長杯,6,4390,15,910,4,1760,6,2670,4
般,2025-01-26,ミッドナイト第42回日本モーターボート選手会会長杯,7,2000,8,170,1,830,3,790,2
般,2025-01-26,ミッドナイト第42回日本モーターボート選手会会長杯,8,690,1,200,1,390,1,300,1
般,2025-01-26,ミッドナイト第42回日本モーターボート選手会会長杯,9,8380,32,580,3,2990,14,1380,6
般,2025-01-26,ミッドナイト第42回日本モーターボート選手会会長杯,10,2950,12,560,3,620,2,250,1
般,2025-01-26,ミッドナイト第42回日本モーターボート選手会会長杯,11,690,1,360,1,250,1,210,1
般,2025-01-26,ミッドナイト第42回日本モーターボート選手会会長杯,12,1190,5,650,3,280,1,230,1
般,2025-01-19,GGO2カップ,1,580,1,310,1,380,2,260,2
般,2025-01-19,GGO2カップ,2,870,2,460,2,370,1,190,1
般,2025-01-19,GGO2カップ,3,3020,9,570,3,1020,4,310,2
般,2025-01-19,GGO2カップ,4,4480,17,1470,9,430,1,340,1
般,2025-01-19,GGO2カップ,5,620,2,350,2,230,1,170,1
般,2025-01-19,GGO2カップ,6,1480,7,480,2,750,5,780,4
般,2025-01-19,GGO2カップ,7,1960,10,740,5,730,3,570,3
般,2025-01-19,GGO2カップ,8,2110,10,1370,8,250,1,190,1
般,2025-01-19,GGO2カップ,9,3600,12,1240,6,1070,5,1240,4
般,2025-01-19,GGO2カップ,10,2220,7,390,2,720,3,170,1
般,2025-01-19,GGO2カップ,11,6650,26,1340,6,2250,7,1560,6
般,2025-01-19,GGO2カップ,12,1160,6,410,3,460,3,490,3
般,2025-01-18,GGO2カップ,1,850,2,370,1,380,2,510,2
般,2025-01-18,GGO2カップ,2,7850,24,510,2,2870,9,550,4
般,2025-01-18,GGO2カップ,3,3570,11,1050,6,680,1,940,7
般,2025-01-18,GGO2カップ,4,10600,37,820,3,3290,13,1560,9
般,2025-01-18,GGO2カップ,5,630,2,190,1,380,2,410,2
般,2025-01-18,GGO2カップ,6,4820,20,2120,7,1520,6,1030,5
般,2025-01-18,GGO2カップ,7,3860,15,270,1,1980,10,420,3
般,2025-01-18,GGO2カップ,8,9820,17,390,1,3640,7,210,1
般,2025-01-18,GGO2カップ,9,18470,49,1750,9,3510,10,430,2
般,2025-01-18,GGO2カップ,10,3090,10,330,2,730,4,150,1
般,2025-01-18,GGO2カップ,11,1270,6,740,6,410,2,360,2
般,2025-01-18,GGO2カップ,12,1300,4,670,3,290,1,160,1
般,2025-01-17,GGO2カップ,1,1650,3,620,2,330,1,360,1
般,2025-01-17,GGO2カップ,2,6440,25,640,2,1330,5,960,4
般,2025-01-17,GGO2カップ,3,6050,22,1360,7,700,1,450,2
