grade,date,race_name,race_no,3連単オッズ,3連単人気,3連複オッズ,3連複人気,2連単オッズ,2連単人気,2連複オッズ,2連複人気
般,2023-07-31,サッポロビールカップ,1,6370,26,410,1,1350,5,740,3
般,2023-07-31,サッポロビールカップ,2,2110,8,350,2,580,3,390,2
般,2023-07-31,サッポロビールカップ,3,1390,1,290,1,1030,3,480,2
般,2023-07-31,サッポロビールカップ,4,760,2,220,1,350,1,350,2
般,2023-07-31,サッポロビールカップ,5,320,1,190,1,180,1,140,1
般,2023-07-31,サッポロビールカップ,6,4080,16,880,4,960,4,480,3
般,2023-07-31,サッポロビールカップ,7,1240,1,430,1,360,1,220,1
般,2023-07-31,サッポロビールカップ,8,720,3,460,2,240,2,220,1
般,2023-07-31,サッポロビールカップ,9,53030,67,13940,17,4160,11,2750,7
般,2023-07-31,サッポロビールカップ,10,2300,8,280,1,1270,6,650,3
般,2023-07-31,サッポロビールカップ,11,2520,9,1210,4,1380,5,740,3
般,2023-07-31,サッポロビールカップ,12,23700,66,4440,16,3660,12,1280,6
般,2023-07-30,サッポロビールカップ,1,530,1,230,1,300,1,250,1
般,2023-07-30,サッポロビールカップ,2,12510,38,820,3,3530,11,710,4
般,2023-07-30,サッポロビールカップ,3,9870,38,2160,9,1190,6,900,4
般,2023-07-30,サッポロビールカップ,4,13520,66,1320,6,2890,15,1360,7
般,2023-07-30,サッポロビールカップ,5,11310,22,190,1,7310,8,1220,4
般,2023-07-30,サッポロビールカップ,6,1080,1,340,1,360,1,150,1
般,2023-07-30,サッポロビールカップ,7,3080,12,270,1,1240,4,1440,5
般,2023-07-30,サッポロビールカップ,8,690,3,230,1,400,2,330,3
般,2023-07-30,サッポロビールカップ,9,740,2,220,1,310,2,150,1
般,2023-07-30,サッポロビールカップ,10,2070,7,260,1,550,3,180,1
般,2023-07-30,サッポロビールカップ,11,900,2,400,1,360,2,220,1
般,2023-07-30,サッポロビールカップ,12,4660,17,2870,9,590,3,670,3
般,2023-07-29,サッポロビールカップ,1,12090,33,1050,6,3190,11,400,2
般,2023-07-29,サッポロビールカップ,2,31670,101,2660,14,3500,16,2630,11
般,2023-07-29,サッポロビールカップ,3,4230,13,460,1,960,4,430,1
般,2023-07-29,サッポロビールカップ,4,5530,23,770,3,1520,8,2700,9
般,2023-07-29,サッポロビールカップ,5,680,2,250,1,420,2,310,2
般,2023-07-29,サッポロビールカップ,6,21220,69,3230,11,6690,21,3080,12
般,2023-07-29,サッポロビールカップ,7,34760,73,1850,7,7380,16,2520,9
般,2023-07-29,サッポロビールカップ,8,290,1,160,1,200,1,170,1
般,2023-07-29,サッポロビールカップ,9,4990,21,800,3,1420,7,1850,7
般,2023-07-29,サッポロビールカップ,10,1370,5,590,3,240,1,160,1
般,2023-07-29,サッポロビールカップ,11,10340,27,390,3,4640,11,550,2
般,2023-07-29,サッポロビールカップ,12,990,1,490,1,340,1,330,1
般,2023-07-28,サッポロビールカップ,1,29050,65,6390,17,5960,15,1080,5
般,2023-07-28,サッポロビールカップ,2,840,2,310,2,420,2,130,1
般,2023-07-28,サッポロビールカップ,3,5230,19,830,3,1860,6,2480,6
般,2023-07-28,サッポロビールカップ,4,2770,13,660,4,1750,11,730,4
般,2023-07-28,サッポロビールカップ,5,4450,13,760,3,1650,5,2230,4
般,2023-07-28,サッポロビールカップ,6,3720,17,1610,6,980,5,1230,5
般,2023-07-28,サッポロビールカップ,7,2230,8,820,3,270,2,150,1
般,2023-07-28,サッポロビールカップ,8,4460,14,2500,9,650,3,540,3
般,2023-07-28,サッポロビールカップ,9,3770,18,330,3,1940,11,540,5
般,2023-07-28,サッポロビールカップ,10,850,3,510,2,230,1,180,1
般,2023-07-28,サッポロビールカップ,11,550,1,220,1,260,1,290,2
般,2023-07-28,サッポロビールカップ,12,840,1,420,1,360,2,210,1
般,2023-07-24,福岡ソフトバンクホークス杯,1,1670,5,190,1,940,4,350,2
般,2023-07-24,福岡ソフトバンクホークス杯,2,79810,107,13230,19,13130,25,5190,13
般,2023-07-24,福岡ソフトバンクホークス杯,3,2530,8,360,2,920,4,820,4
般,2023-07-24,福岡ソフトバンクホークス杯,4,17330,48,4750,13,2760,12,1020,4
般,2023-07-24,福岡ソフトバンクホークス杯,5,490,1,160,1,220,1,210,1
般,2023-07-24,福岡ソフトバンクホークス杯,6,34070,52,9700,15,2490,9,780,4
般,2023-07-24,福岡ソフトバンクホークス杯,7,4880,16,290,1,2290,8,1050,6
般,2023-07-24,福岡ソフトバンクホークス杯,8,930,4,500,3,270,1,330,2
般,2023-07-24,福岡ソフトバンクホークス杯,9,1320,2,450,1,460,2,500,2
般,2023-07-24,福岡ソフトバンクホークス杯,10,9390,36,1430,6,1720,8,600,3
般,2023-07-24,福岡ソフトバンクホークス杯,11,850,3,250,1,360,2,450,2
般,2023-07-24,福岡ソフトバンクホークス杯,12,18450,41,640,2,6470,15,800,4
般,2023-07-23,福岡ソフトバンクホークス杯,1,4700,21,500,3,2020,10,570,3
般,2023-07-23,福岡ソフトバンクホークス杯,2,1830,6,370,2,840,5,780,4
般,2023-07-23,福岡ソフトバンクホークス杯,3,26370,62,4230,10,8070,19,3060,9
般,2023-07-23,福岡ソフトバンクホークス杯,4,920,2,290,2,280,1,210,1
般,2023-07-23,福岡ソフトバンクホークス杯,5,1060,3,180,1,550,3,210,2
般,2023-07-23,福岡ソフトバンクホークス杯,6,2760,11,1480,5,430,2,260,1
般,2023-07-23,福岡ソフトバンクホークス杯,7,2190,8,830,4,760,3,830,4
般,2023-07-23,福岡ソフトバンクホークス杯,8,840,3,490,2,210,1,200,1
般,2023-07-23,福岡ソフトバンクホークス杯,9,5550,19,530,3,2210,9,270,1
般,2023-07-23,福岡ソフトバンクホークス杯,10,2270,6,230,1,1110,5,310,2
般,2023-07-23,福岡ソフトバンクホークス杯,11,1840,7,1060,4,250,1,240,1
般,2023-07-23,福岡ソフトバンクホークス杯,12,1150,4,510,2,400,3,400,3
般,2023-07-22,福岡ソフトバンクホークス杯,1,1430,4,620,3,390,2,350,2
般,2023-07-22,福岡ソフトバンクホークス杯,2,3200,9,690,3,570,1,380,1
般,2023-07-22,福岡ソフトバンクホークス杯,3,2160,8,620,3,630,4,170,1
