grade,date,race_name,race_no,3連単オッズ,3連単人気,3連複オッズ,3連複人気,2連単オッズ,2連単人気,2連複オッズ,2連複人気
般,2023-02-28,公営レーシングプレス杯,1,750,2,260,1,420,2,420,2
般,2023-02-28,公営レーシングプレス杯,2,1080,1,660,3,270,1,220,1
般,2023-02-28,公営レーシングプレス杯,3,1630,3,860,4,460,2,330,1
般,2023-02-28,公営レーシングプレス杯,4,880,1,230,1,420,2,350,1
般,2023-02-28,公営レーシングプレス杯,5,570,2,230,1,280,2,250,2
般,2023-02-28,公営レーシングプレス杯,6,600,2,330,2,160,1,130,1
般,2023-02-28,公営レーシングプレス杯,7,5360,18,190,1,2100,6,420,2
般,2023-02-28,公営レーシングプレス杯,8,470,2,170,1,180,1,300,2
般,2023-02-28,公営レーシングプレス杯,9,460,1,190,1,230,1,210,1
般,2023-02-28,公営レーシングプレス杯,10,980,2,370,1,510,3,400,2
般,2023-02-28,公営レーシングプレス杯,11,4630,13,2740,7,370,2,330,2
般,2023-02-28,公営レーシングプレス杯,12,2070,8,1360,6,390,2,410,3
般,2023-02-24,サンケイスポーツ杯,1,5160,18,550,3,2990,12,1080,6
般,2023-02-24,サンケイスポーツ杯,2,11170,40,1040,5,3430,14,490,2
般,2023-02-24,サンケイスポーツ杯,3,2250,8,940,4,350,1,260,1
般,2023-02-24,サンケイスポーツ杯,4,4160,18,450,1,1580,8,810,4
般,2023-02-24,サンケイスポーツ杯,5,5910,19,800,3,4930,10,1670,6
般,2023-02-24,サンケイスポーツ杯,6,5700,19,1720,9,990,5,1160,5
般,2023-02-24,サンケイスポーツ杯,7,23250,50,1230,5,2200,8,430,2
般,2023-02-24,サンケイスポーツ杯,8,750,3,460,2,250,1,190,1
般,2023-02-24,サンケイスポーツ杯,9,40770,70,1160,6,16330,25,5700,12
般,2023-02-24,サンケイスポーツ杯,10,6340,20,1000,4,2740,8,760,2
般,2023-02-24,サンケイスポーツ杯,11,540,1,270,1,230,1,260,2
般,2023-02-24,サンケイスポーツ杯,12,5600,20,640,3,1380,5,260,2
般,2023-02-23,サンケイスポーツ杯,1,31800,80,4160,15,7370,23,1650,8
般,2023-02-23,サンケイスポーツ杯,2,590,2,190,1,360,1,240,1
般,2023-02-23,サンケイスポーツ杯,3,870,2,330,2,340,1,200,1
般,2023-02-23,サンケイスポーツ杯,4,1600,4,310,1,980,5,410,2
般,2023-02-23,サンケイスポーツ杯,5,530,2,170,1,280,2,220,1
般,2023-02-23,サンケイスポーツ杯,6,6340,28,580,2,4360,14,760,3
般,2023-02-23,サンケイスポーツ杯,7,960,5,300,1,360,2,140,1
般,2023-02-23,サンケイスポーツ杯,8,340,1,180,1,160,1,180,1
般,2023-02-23,サンケイスポーツ杯,9,430,2,270,2,160,1,170,1
般,2023-02-23,サンケイスポーツ杯,10,310,1,180,1,180,1,140,1
般,2023-02-23,サンケイスポーツ杯,11,23390,33,510,2,14150,20,9120,11
般,2023-02-23,サンケイスポーツ杯,12,6980,22,1450,9,1650,5,1200,5
般,2023-02-22,サンケイスポーツ杯,1,1300,6,480,2,330,2,330,2
般,2023-02-22,サンケイスポーツ杯,2,1920,8,360,2,400,2,420,2
般,2023-02-22,サンケイスポーツ杯,3,1570,5,440,3,550,2,190,1
般,2023-02-22,サンケイスポーツ杯,4,870,3,650,2,280,2,160,1
般,2023-02-22,サンケイスポーツ杯,5,1340,6,390,2,420,3,450,3
般,2023-02-22,サンケイスポーツ杯,6,1040,4,880,4,450,2,290,2
般,2023-02-22,サンケイスポーツ杯,7,750,1,230,1,390,1,140,1
般,2023-02-22,サンケイスポーツ杯,8,290,1,170,1,160,1,130,1
般,2023-02-22,サンケイスポーツ杯,9,3070,10,2570,8,420,2,530,2
般,2023-02-22,サンケイスポーツ杯,10,9160,23,4180,10,1800,6,2150,6
般,2023-02-22,サンケイスポーツ杯,11,730,2,220,1,410,2,340,2
般,2023-02-22,サンケイスポーツ杯,12,970,3,400,2,340,2,200,1
般,2023-02-21,サンケイスポーツ杯,1,3370,14,700,4,690,3,200,1
般,2023-02-21,サンケイスポーツ杯,2,1130,6,290,1,230,1,220,1
般,2023-02-21,サンケイスポーツ杯,3,4960,16,2220,6,740,3,430,2
般,2023-02-21,サンケイスポーツ杯,4,620,1,310,1,230,2,110,1
般,2023-02-21,サンケイスポーツ杯,5,420,2,280,2,150,1,120,1
般,2023-02-21,サンケイスポーツ杯,6,770,1,220,1,430,1,250,1
般,2023-02-21,サンケイスポーツ杯,7,5280,14,430,3,2230,7,2030,7
般,2023-02-21,サンケイスポーツ杯,8,710,3,500,2,170,1,170,1
般,2023-02-21,サンケイスポーツ杯,9,4620,14,1360,7,510,2,400,2
般,2023-02-21,サンケイスポーツ杯,10,200130,111,17260,19,19190,21,10310,15
般,2023-02-21,サンケイスポーツ杯,11,2900,9,900,4,1160,4,1060,4
般,2023-02-21,サンケイスポーツ杯,12,790,2,420,2,310,1,220,1
G1,2023-02-17,第69回九州地区選手権競走,1,5740,23,1610,8,900,3,660,3
G1,2023-02-17,第69回九州地区選手権競走,2,1940,8,930,5,430,2,440,3
G1,2023-02-17,第69回九州地区選手権競走,3,22160,58,2010,9,7120,17,2120,8
G1,2023-02-17,第69回九州地区選手権競走,4,4660,17,570,3,1980,6,1680,6
G1,2023-02-17,第69回九州地区選手権競走,5,32410,67,840,4,8490,21,1790,9
G1,2023-02-17,第69回九州地区選手権競走,6,3960,17,370,2,1310,5,890,5
G1,2023-02-17,第69回九州地区選手権競走,7,2650,8,970,5,660,3,620,4
G1,2023-02-17,第69回九州地区選手権競走,8,770,2,340,1,290,1,300,2
G1,2023-02-17,第69回九州地区選手権競走,9,34130,76,3660,15,7110,21,4330,13
G1,2023-02-17,第69回九州地区選手権競走,10,2080,9,960,5,380,1,250,1
G1,2023-02-17,第69回九州地区選手権競走,11,4120,17,660,4,1420,6,810,5
G1,2023-02-17,第69回九州地区選手権競走,12,1380,3,450,1,370,1,290,1
G1,2023-02-16,第69回九州地区選手権競走,1,1850,7,670,3,820,3,470,3
G1,2023-02-16,第69回九州地区選手権競走,2,9790,27,690,4,2370,7,430,3
G1,2023-02-16,第69回九州地区選手権競走,3,8440,34,1070,6,3010,11,2150,9
G1,2023-02-16,第69回九州地区選手権競走,4,5460,18,1260,6,1170,4,820,4
G1,2023-02-16,第69回九州地区選手権競走,5,2250,8,630,3,640,3,420,2
G1,2023-02-16,第69回九州地区選手権競走,6,3740,10,270,1,1300,4,320,2
G1,2023-02-16,第69回九州地区選手権競走,7,3150,12,1570,8,1030,5,940,4
G1,2023-02-16,第69回九州地区選手権競走,8,5480,19,410,1,2610,9,1560,6
G1,2023-02-16,第69回九州地区選手権競走,9,650,2,180,1,330,2,330,2
G1,2023-02-16,第69回九州地区選手権競走,10,4930,17,690,3,1240,5,220,1
G1,2023-02-16,第69回九州地区選手権競走,11,1750,6,680,5,350,2,250,1
G1,2023-02-16,第69回九州地区選手権競走,12,7040,23,1400,6,2060,6,1740,5
G1,2023-02-15,第69回九州地区選手権競走,1,1670,3,450,1,680,2,520,2
G1,2023-02-15,第69回九州地区選手権競走,2,10450,49,1090,5,2720,13,920,5
G1,2023-02-15,第69回九州地区選手権競走,3,5970,25,2420,12,600,1,310,1
G1,2023-02-15,第69回九州地区選手権競走,4,3470,13,2370,9,280,1,200,1
G1,2023-02-15,第69回九州地区選手権競走,5,152440,119,8040,20,30040,30,6000,13
G1,2023-02-15,第69回九州地区選手権競走,6,7850,30,1020,8,2770,10,1880,7
G1,2023-02-15,第69回九州地区選手権競走,7,3580,11,960,3,1430,5,1060,6
G1,2023-02-15,第69回九州地区選手権競走,8,2720,8,660,3,520,2,190,1
G1,2023-02-15,第69回九州地区選手権競走,9,44790,95,3970,16,8130,23,4830,13
G1,2023-02-15,第69回九州地区選手権競走,10,35360,72,4940,15,5590,15,2860,9
G1,2023-02-15,第69回九州地区選手権競走,11,3050,10,1420,7,530,2,550,3
G1,2023-02-15,第69回九州地区選手権競走,12,14070,52,1020,4,3250,13,750,4
G1,2023-02-14,第69回九州地区選手権競走,1,3360,15,1320,7,980,4,870,5
G1,2023-02-14,第69回九州地区選手権競走,2,11150,39,820,3,3580,11,1360,6
G1,2023-02-14,第69回九州地区選手権競走,3,2360,9,970,6,560,3,460,3
G1,2023-02-14,第69回九州地区選手権競走,4,880,4,300,1,220,1,170,1
G1,2023-02-14,第69回九州地区選手権競走,5,3380,10,1910,11,610,2,560,2
G1,2023-02-14,第69回九州地区選手権競走,6,790,3,480,2,310,1,270,2
G1,2023-02-14,第69回九州地区選手権競走,7,5650,27,510,2,1940,10,1680,7
G1,2023-02-14,第69回九州地区選手権競走,8,17270,52,690,2,5460,18,2400,9
G1,2023-02-14,第69回九州地区選手権競走,9,6590,31,1330,8,2070,11,1410,7
G1,2023-02-14,第69回九州地区選手権競走,10,4500,16,400,1,2130,7,1400,6
G1,2023-02-14,第69回九州地区選手権競走,11,1330,4,460,1,450,3,490,3
G1,2023-02-14,第69回九州地区選手権競走,12,880,3,320,1,400,2,300,2
G1,2023-02-13,第69回九州地区選手権競走,1,10920,34,1550,6,2590,10,1540,6
G1,2023-02-13,第69回九州地区選手権競走,2,2010,6,1030,5,510,2,410,2
G1,2023-02-13,第69回九州地区選手権競走,3,2310,4,770,3,550,1,380,1
G1,2023-02-13,第69回九州地区選手権競走,4,8520,38,3320,16,2420,10,1580,8
G1,2023-02-13,第69回九州地区選手権競走,5,2630,10,1550,5,530,2,450,2
G1,2023-02-13,第69回九州地区選手権競走,6,15340,45,2730,10,3860,13,2030,8
G1,2023-02-13,第69回九州地区選手権競走,7,6280,24,1360,6,2900,15,1850,12
