モーター番号,2連対率,勝率,1着,2着,3着,出走回数,優出回数,優勝回数,平均展示タイム,最高タイム（1800m）,逃げ,まくり,差し,まくり差し,抜き,恵まれ
12,63.41,7.41,14,12,8,41,2,1,6.79,"148""5",10,2,0,1,1,0
10,59.09,6.68,15,11,4,44,3,1,6.77,"148""4",9,4,1,1,0,0
46,53.06,6.47,20,6,5,49,1,1,6.84,"147""5",12,1,2,4,1,0
7,51.11,6.31,13,10,7,45,2,0,6.83,"147""4",8,1,2,2,0,0
11,48.78,6.37,8,12,9,41,1,0,6.79,"147""5",4,1,1,2,0,0
28,47.73,6.25,10,11,6,44,1,0,6.84,"148""3",6,1,0,0,3,0
14,45.65,6.30,13,8,8,46,1,0,6.77,"148""1",3,3,4,2,1,0
48,44.68,6.00,13,8,8,47,2,0,6.82,"148""3",7,2,2,1,1,0
58,44.44,6.38,8,12,11,45,0,0,6.85,"148""7",4,0,2,2,0,0
20,44.44,5.71,8,12,6,45,1,1,6.83,"148""1",6,0,1,1,0,0
35,43.18,6.02,10,9,8,44,1,1,6.85,"148""7",5,2,1,2,0,0
25,42.86,5.69,13,5,3,42,1,1,6.81,"148""6",6,2,1,2,1,1
45,41.67,5.42,12,8,6,48,2,0,6.81,"148""1",5,2,3,2,0,0
51,41.67,5.21,7,13,3,48,2,0,6.84,"148""8",4,1,0,2,0,0
3,41.46,5.56,6,11,7,41,1,0,6.83,"147""8",4,1,0,1,0,0
36,41.18,5.47,8,6,3,34,1,0,6.85,"148""8",6,0,1,0,1,0
61,40.91,5.95,9,9,9,44,1,0,6.83,"148""3",7,0,2,0,0,0
38,40.82,5.59,11,9,6,49,1,0,6.85,"148""0",4,1,5,0,1,0
62,40.00,5.60,8,8,9,40,1,0,6.81,"148""5",6,0,2,0,0,0
16,40.00,5.22,10,8,4,45,1,1,6.83,"147""4",5,3,1,1,0,0
33,39.53,5.88,6,11,8,43,1,0,6.85,"148""4",4,2,0,0,0,0
56,38.10,5.40,8,8,6,42,0,0,6.87,"148""2",5,2,1,0,0,0
39,36.59,5.51,4,11,10,41,0,0,6.82,"148""2",3,1,0,0,0,0
4,36.17,5.66,9,8,11,47,0,0,6.83,"146""0",5,2,1,0,1,0
60,36.17,5.53,10,7,10,47,1,0,6.85,"148""9",7,1,1,0,1,0
54,35.42,5.88,7,10,16,48,1,0,6.82,"147""9",3,0,2,1,0,1
55,34.78,5.30,6,10,11,46,2,0,6.84,"148""6",5,0,0,0,1,0
32,34.69,5.41,10,7,6,49,1,0,6.82,"147""7",6,1,2,0,1,0
57,34.09,5.25,6,9,8,44,0,0,6.79,"148""8",3,0,1,2,0,0
6,33.33,5.28,8,5,7,39,0,0,6.80,"148""3",5,1,1,1,0,0
27,32.61,4.76,8,7,6,46,0,0,6.82,"148""7",6,2,0,0,0,0
34,32.50,5.38,8,5,11,40,0,0,6.81,"148""1",5,2,0,0,1,0
44,31.82,5.43,8,6,8,44,1,0,6.82,"147""3",4,0,0,2,2,0
23,31.82,4.61,7,7,6,44,2,0,6.83,"148""8",3,2,1,0,1,0
24,31.71,4.90,3,10,4,41,1,0,6.85,"149""9",0,0,2,1,0,0
26,31.11,5.04,7,7,8,45,0,0,6.82,"149""6",2,0,2,2,1,0
15,30.95,5.64,7,6,14,42,1,0,6.85,"148""1",3,1,2,0,0,1
30,30.43,5.11,7,7,7,46,0,0,6.78,"148""1",4,1,0,1,1,0
43,30.23,5.09,9,4,10,43,0,0,6.86,"149""6",3,2,2,1,1,0
17,30.00,4.90,6,9,7,50,0,0,6.85,"149""4",4,1,1,0,0,0
2,28.89,5.18,4,9,8,45,1,0,6.84,"149""0",4,0,0,0,0,0
41,28.57,4.95,8,4,9,42,0,0,6.83,"149""1",4,1,0,1,2,0
5,28.26,4.63,4,9,4,46,0,0,6.88,"150""1",3,0,0,1,0,0
59,27.66,4.30,3,10,6,47,0,0,6.85,"149""5",2,1,0,0,0,0
40,27.27,5.00,6,6,10,44,0,0,6.85,"149""3",5,0,0,0,1,0
1,25.00,5.35,4,6,10,40,0,0,6.84,"148""4",2,0,0,1,1,0
42,25.00,4.89,9,2,7,44,1,0,6.88,"148""7",5,2,2,0,0,0
18,24.53,4.30,6,7,9,53,0,0,6.82,"149""6",3,2,1,0,0,0
21,24.49,4.27,7,5,6,49,1,0,6.84,"148""2",3,2,0,0,2,0
29,24.44,4.09,3,8,7,45,1,0,6.84,"148""6",2,0,0,1,0,0
52,23.53,4.47,6,6,8,51,0,0,6.84,"149""4",2,3,0,1,0,0
37,23.26,4.53,5,5,9,43,0,0,6.85,"148""4",5,0,0,0,0,0
31,22.73,4.43,5,5,10,44,0,0,6.86,"148""7",1,2,0,1,1,0
9,22.73,4.16,7,3,5,44,1,0,6.86,"149""1",5,1,0,0,1,0
19,22.50,4.53,3,6,8,40,0,0,6.86,"149""9",3,0,0,0,0,0
49,22.22,3.91,3,7,4,45,0,0,6.83,"148""9",3,0,0,0,0,0
50,20.00,4.17,3,4,3,35,0,0,6.87,"149""4",3,0,0,0,0,0
8,19.05,3.88,5,3,3,42,0,0,6.87,"149""2",3,0,1,0,0,1
47,18.42,4.53,6,1,8,38,0,0,6.84,"149""0",3,0,2,0,1,0
22,17.07,4.15,1,6,11,41,0,0,6.85,"149""8",1,0,0,0,0,0
53,15.56,3.64,2,5,7,45,0,0,6.88,"150""1",0,0,0,0,2,0
13,7.14,3.10,1,2,5,42,0,0,6.79,"149""2",1,0,0,0,0,0
