モーター番号,2連対率,勝率,1着,2着,3着,出走回数,優出回数,優勝回数,平均展示タイム,最高タイム（1800m）,逃げ,まくり,差し,まくり差し,抜き,恵まれ
12,62.07,7.41,20,16,12,58,3,1,6.79,"147""7",15,2,0,1,2,0
10,55.17,6.24,18,14,4,58,3,1,6.79,"148""4",11,4,2,1,0,0
11,53.57,6.73,15,15,11,56,2,0,6.79,"147""5",9,3,1,2,0,0
46,50.00,6.47,23,10,11,66,1,1,6.86,"147""5",13,2,2,5,1,0
36,47.06,6.12,12,12,8,51,1,0,6.83,"148""6",8,2,1,0,1,0
61,45.45,6.30,17,13,14,66,1,0,6.84,"148""3",11,2,4,0,0,0
28,44.44,5.78,14,14,7,63,1,0,6.85,"148""3",8,2,0,0,4,0
16,44.44,5.59,17,11,5,63,3,1,6.84,"147""4",7,5,3,1,1,0
7,42.62,5.82,13,13,11,61,2,0,6.84,"147""4",8,1,2,2,0,0
14,41.94,6.15,13,13,15,62,1,0,6.78,"148""1",3,3,4,2,1,0
39,41.67,5.55,8,17,11,60,1,1,6.83,"147""9",7,1,0,0,0,0
25,41.38,5.47,15,9,5,58,2,1,6.82,"148""6",7,3,1,2,1,1
48,40.32,5.66,17,8,10,62,2,0,6.83,"148""3",8,3,3,2,1,0
45,40.00,5.62,17,9,11,65,2,0,6.83,"148""1",7,3,4,2,1,0
33,39.66,5.91,9,14,11,58,2,0,6.85,"148""4",5,2,1,1,0,0
58,39.34,5.92,9,15,14,61,0,0,6.86,"148""7",4,0,3,2,0,0
20,38.10,5.48,11,13,10,63,1,1,6.84,"148""1",7,0,2,2,0,0
23,38.10,5.32,15,9,8,63,3,1,6.84,"148""8",9,2,3,0,1,0
35,37.70,5.64,13,10,11,61,1,1,6.87,"148""7",7,3,1,2,0,0
26,37.50,5.50,11,13,13,64,0,0,6.83,"149""6",3,2,3,2,1,0
51,37.50,4.81,9,15,3,64,2,0,6.86,"148""8",5,1,1,2,0,0
4,37.31,5.55,11,14,13,67,0,0,6.84,"146""0",7,2,1,0,1,0
27,36.51,5.11,12,11,8,63,0,0,6.83,"148""7",7,2,0,2,1,0
54,35.94,5.63,9,14,16,64,2,0,6.84,"147""9",4,1,2,1,0,1
24,35.59,5.22,8,13,7,59,1,0,6.85,"149""5",2,1,4,1,0,0
34,34.48,5.64,12,8,16,58,1,1,6.81,"148""1",7,3,1,0,1,0
6,33.33,5.33,12,8,12,60,1,0,6.81,"148""3",7,1,3,1,0,0
32,33.33,5.30,12,10,9,66,1,0,6.84,"147""7",7,1,3,0,1,0
56,33.33,5.06,8,10,8,54,0,0,6.87,"148""2",5,2,1,0,0,0
55,32.81,5.20,9,12,15,64,2,0,6.85,"148""6",8,0,0,0,1,0
38,32.81,5.16,12,9,8,64,1,0,6.86,"148""0",5,1,5,0,1,0
41,32.76,5.52,11,8,16,58,1,0,6.83,"149""1",6,1,1,1,2,0
3,32.31,4.77,6,15,9,65,2,0,6.84,"147""8",4,1,0,1,0,0
43,32.14,5.05,10,8,12,56,0,0,6.85,"149""6",4,2,2,1,1,0
62,31.75,4.89,10,10,10,63,1,0,6.84,"148""5",6,0,4,0,0,0
60,30.65,4.76,10,9,10,62,1,0,6.86,"148""9",7,1,1,0,1,0
42,30.36,5.20,13,4,9,56,2,0,6.89,"148""7",7,2,3,1,0,0
44,30.00,5.25,9,9,11,60,1,0,6.84,"147""3",4,0,0,3,2,0
31,30.00,4.88,12,6,10,60,1,0,6.85,"148""7",6,2,1,2,1,0
9,30.00,4.72,12,6,8,60,2,0,6.87,"149""1",8,3,0,0,1,0
2,29.69,4.91,6,13,9,64,1,0,6.83,"148""8",5,0,0,0,1,0
57,29.51,5.16,9,9,13,61,0,0,6.81,"148""8",6,0,1,2,0,0
22,29.41,5.00,7,13,17,68,0,0,6.86,"148""9",3,1,3,0,0,0
30,29.03,5.15,10,8,10,62,0,0,6.79,"148""1",5,2,0,1,2,0
52,28.79,4.77,10,9,9,66,1,0,6.83,"148""1",5,3,1,1,0,0
50,27.87,4.95,8,9,8,61,0,0,6.88,"149""4",7,0,1,0,0,0
59,27.69,4.54,6,12,9,65,1,0,6.85,"149""5",3,1,0,1,0,1
15,27.42,5.55,7,10,23,62,1,0,6.85,"148""1",3,1,2,0,0,1
17,27.27,4.79,8,10,10,66,0,0,6.86,"149""4",5,1,2,0,0,0
8,26.67,4.67,10,6,8,60,0,0,6.87,"148""6",7,1,1,0,0,1
29,26.67,4.45,5,11,10,60,1,0,6.85,"148""6",2,0,1,2,0,0
40,25.42,4.75,7,8,12,59,0,0,6.85,"149""3",6,0,0,0,1,0
1,25.40,4.94,5,11,12,63,0,0,6.85,"148""4",2,0,0,2,1,0
18,25.00,4.48,7,9,13,64,0,0,6.83,"149""6",3,2,1,0,1,0
5,23.33,4.22,5,9,6,60,0,0,6.88,"150""1",4,0,0,1,0,0
53,23.08,4.03,4,11,8,65,0,0,6.89,"150""1",1,1,0,0,2,0
21,22.95,4.08,9,5,7,61,1,0,6.85,"148""2",5,2,0,0,2,0
49,22.06,4.04,4,11,7,68,0,0,6.85,"148""9",3,0,0,1,0,0
37,21.43,4.11,5,7,10,56,0,0,6.85,"148""4",5,0,0,0,0,0
19,20.31,4.34,5,8,12,64,0,0,6.88,"149""9",3,1,0,0,1,0
13,13.56,3.42,4,4,7,59,0,0,6.81,"149""2",3,1,0,0,0,0
47,12.50,3.57,6,1,8,56,0,0,6.85,"149""0",3,0,2,0,1,0
