モーター番号,2連対率,勝率,1着,2着,3着,出走回数,優出回数,優勝回数,平均展示タイム,最高タイム（1800m）,逃げ,まくり,差し,まくり差し,抜き,恵まれ
12,55.56,6.87,29,26,20,99,5,1,6.79,"147""7",19,5,1,2,2,0
46,49.00,6.25,29,20,16,100,2,1,6.87,"147""5",17,3,3,5,1,0
11,48.45,6.33,23,24,19,97,2,0,6.80,"147""5",14,4,3,2,0,0
28,46.46,5.92,24,22,11,99,2,0,6.86,"147""4",15,3,0,2,4,0
10,46.46,5.64,23,23,10,99,3,1,6.81,"148""4",15,4,3,1,0,0
6,44.00,5.94,27,17,17,100,2,1,6.81,"147""8",15,3,3,4,2,0
14,43.62,6.12,22,19,19,94,3,1,6.77,"148""1",10,4,4,3,1,0
34,43.43,6.17,27,16,22,99,3,1,6.80,"148""1",14,7,3,1,2,0
39,42.57,5.73,18,25,17,101,1,1,6.84,"147""9",13,1,2,2,0,0
36,41.24,5.74,19,21,16,97,2,0,6.84,"148""5",12,4,1,0,2,0
30,41.00,5.86,26,15,13,100,2,1,6.81,"147""2",11,9,2,2,2,0
23,40.59,5.44,22,19,13,101,5,1,6.85,"147""8",12,4,3,0,2,1
48,40.20,5.65,25,16,15,102,2,0,6.82,"148""3",12,3,5,4,1,0
45,39.80,5.58,25,14,16,98,3,0,6.84,"148""1",13,4,4,3,1,0
24,38.68,5.56,22,19,14,106,1,0,6.85,"146""6",12,4,4,1,0,1
7,38.61,5.68,16,23,22,101,2,0,6.83,"147""4",9,2,3,2,0,0
25,38.10,5.36,27,13,14,105,3,1,6.82,"147""4",13,3,4,3,3,1
51,37.62,5.16,18,20,13,101,4,1,6.86,"148""8",10,4,1,2,1,0
58,37.38,5.81,19,21,27,107,0,0,6.86,"147""6",10,2,5,2,0,0
61,36.89,5.52,21,17,21,103,1,0,6.85,"147""7",13,3,4,0,1,0
16,36.63,5.04,18,19,9,101,3,1,6.85,"147""4",7,5,3,2,1,0
32,36.36,5.42,20,16,14,99,2,0,6.83,"147""7",9,3,4,0,3,1
26,36.27,5.30,19,18,18,102,1,0,6.84,"148""7",6,5,3,2,2,1
20,35.29,5.28,17,19,15,102,1,1,6.85,"147""8",10,0,4,3,0,0
55,35.14,5.20,14,25,21,111,2,0,6.85,"148""3",12,0,0,1,1,0
54,35.00,5.40,16,19,20,100,2,0,6.85,"147""5",8,2,4,1,0,1
3,35.00,4.95,12,23,13,100,2,0,6.82,"147""8",8,2,0,2,0,0
43,34.95,5.17,21,15,17,103,0,0,6.84,"148""3",9,4,5,2,1,0
35,34.41,5.43,17,15,18,93,1,1,6.88,"148""7",10,3,1,3,0,0
42,33.67,5.39,18,15,14,98,3,0,6.86,"148""7",9,3,4,1,1,0
57,33.33,5.34,19,16,20,105,1,0,6.81,"148""8",12,4,1,2,0,0
33,32.65,5.70,16,16,24,98,2,0,6.86,"148""4",11,2,1,1,1,0
4,32.65,5.23,16,16,19,98,0,0,6.83,"146""0",9,3,1,2,1,0
40,32.38,5.29,17,17,23,105,1,0,6.83,"148""6",10,2,2,2,1,0
27,32.35,4.89,17,16,12,102,0,0,6.85,"148""7",9,3,0,3,2,0
41,32.26,5.16,15,15,20,93,2,0,6.83,"148""2",9,1,1,1,2,1
38,30.69,4.74,17,14,10,101,1,0,6.86,"148""0",9,1,6,0,1,0
44,30.34,5.16,13,14,17,89,1,0,6.84,"147""3",5,1,1,3,3,0
31,30.11,4.87,18,10,13,93,1,0,6.86,"148""7",10,3,1,2,1,1
1,30.10,5.07,7,24,19,103,0,0,6.86,"148""2",4,0,0,2,1,0
21,29.63,4.76,18,14,17,108,2,0,6.85,"148""2",11,4,1,0,2,0
60,28.71,5.04,16,13,24,101,1,0,6.87,"148""8",9,2,1,2,2,0
59,28.57,4.59,10,20,12,105,1,0,6.85,"148""7",6,1,0,1,1,1
2,28.28,4.77,7,21,14,99,1,0,6.85,"148""8",5,0,0,0,1,1
9,27.47,4.73,16,9,17,91,2,0,6.87,"149""1",11,4,0,0,1,0
17,27.27,4.61,12,15,11,99,0,0,6.87,"148""2",8,2,2,0,0,0
62,26.92,4.68,14,14,18,104,1,0,6.86,"147""1",8,0,5,1,0,0
50,26.53,4.88,11,15,17,98,0,0,6.88,"148""6",9,0,2,0,0,0
15,26.26,5.27,10,16,33,99,1,0,6.86,"148""1",5,1,3,0,0,1
5,26.09,4.67,10,14,15,92,1,0,6.87,"149""8",8,1,0,1,0,0
29,25.96,4.63,13,14,19,104,2,1,6.85,"148""6",6,0,2,4,1,0
18,25.71,4.40,14,13,15,105,0,0,6.85,"149""6",6,5,1,0,2,0
22,25.23,4.63,9,18,23,107,0,0,6.86,"148""9",5,1,3,0,0,0
8,24.73,4.48,12,11,12,93,1,0,6.88,"148""6",9,1,1,0,0,1
49,24.53,4.31,11,15,11,106,1,0,6.85,"148""6",7,0,0,2,1,1
52,24.04,4.64,15,10,19,104,1,0,6.85,"147""8",8,4,1,1,0,1
13,23.96,4.22,8,15,14,96,1,0,6.83,"149""2",4,1,0,2,1,0
19,23.71,4.46,10,13,14,97,0,0,6.88,"149""9",5,3,0,0,2,0
53,23.23,4.14,7,16,14,99,0,0,6.88,"149""9",3,2,0,0,2,0
56,22.92,4.72,10,12,23,96,0,0,6.88,"148""2",7,2,1,0,0,0
47,21.74,4.13,10,10,12,92,0,0,6.87,"148""2",6,0,2,1,1,0
37,17.58,3.64,7,9,13,91,0,0,6.86,"148""4",6,1,0,0,0,0
