モーター番号,2連対率,勝率,1着,2着,3着,出走回数,優出回数,優勝回数,平均展示タイム,最高タイム（1800m）,逃げ,まくり,差し,まくり差し,抜き,恵まれ
12,63.08,7.38,21,20,13,65,4,1,6.79,"147""7",15,2,0,2,2,0
10,53.73,6.01,19,17,4,67,3,1,6.79,"148""4",12,4,2,1,0,0
46,50.00,6.42,25,12,12,74,2,1,6.86,"147""5",14,2,3,5,1,0
11,48.44,6.50,16,15,14,64,2,0,6.79,"147""5",9,3,2,2,0,0
28,46.48,5.94,17,16,8,71,1,0,6.85,"147""4",10,3,0,0,4,0
61,45.68,6.25,20,17,17,81,1,0,6.84,"147""7",12,3,4,0,1,0
14,42.25,6.13,14,16,17,71,1,0,6.78,"148""1",4,3,4,2,1,0
25,41.67,5.51,20,10,6,72,2,1,6.81,"147""4",9,3,2,3,2,1
36,41.54,5.91,14,13,12,65,1,0,6.82,"148""5",10,2,1,0,1,0
7,41.18,5.85,14,14,15,68,2,0,6.83,"147""4",9,1,2,2,0,0
45,41.10,5.75,20,10,13,73,2,0,6.84,"148""1",9,4,4,2,1,0
6,40.79,5.71,18,13,12,76,1,0,6.81,"147""8",10,2,3,2,1,0
58,40.00,5.84,12,16,14,70,0,0,6.85,"147""6",6,0,4,2,0,0
24,40.00,5.59,14,16,9,75,1,0,6.86,"146""6",6,2,4,1,0,1
39,39.19,5.41,10,19,13,74,1,1,6.83,"147""9",8,1,0,1,0,0
16,38.96,5.12,17,13,5,77,3,1,6.85,"147""4",7,5,3,1,1,0
33,38.36,6.01,14,14,16,73,2,0,6.85,"148""4",9,2,1,1,1,0
41,38.36,5.75,15,13,17,73,2,0,6.83,"148""2",9,1,1,1,2,1
23,38.16,5.26,16,13,10,76,4,1,6.83,"147""8",9,3,3,0,1,0
20,37.97,5.51,16,14,12,79,1,1,6.84,"147""8",9,0,4,3,0,0
48,37.66,5.56,20,9,12,77,2,0,6.82,"148""3",9,3,3,4,1,0
54,37.50,5.65,11,16,16,72,2,0,6.84,"147""5",5,1,3,1,0,1
26,37.18,5.31,13,16,13,78,0,0,6.83,"148""7",3,4,3,2,1,0
35,37.14,5.61,14,12,13,70,1,1,6.87,"148""7",8,3,1,2,0,0
34,36.36,5.89,16,8,19,66,2,1,6.81,"148""1",9,3,2,1,1,0
4,35.37,5.46,13,16,17,82,0,0,6.83,"146""0",8,2,1,1,1,0
51,35.21,4.56,10,15,3,71,2,0,6.86,"148""8",6,1,1,2,0,0
30,34.78,5.49,14,10,10,69,1,1,6.79,"147""2",8,3,0,1,2,0
32,34.67,5.35,14,12,10,75,1,0,6.84,"147""7",8,1,3,0,1,1
43,33.80,5.15,14,10,14,71,0,0,6.85,"148""3",7,3,2,1,1,0
44,33.78,5.46,12,13,14,74,1,0,6.84,"147""3",5,0,1,3,3,0
27,32.39,4.82,12,11,8,71,0,0,6.84,"148""7",7,2,0,2,1,0
3,32.10,4.74,9,17,10,81,2,0,6.82,"147""8",6,1,0,2,0,0
62,31.94,4.97,12,11,12,72,1,0,6.83,"147""1",7,0,5,0,0,0
55,31.65,4.96,11,14,15,79,2,0,6.86,"148""3",9,0,0,1,1,0
59,31.25,4.70,8,17,10,80,1,0,6.84,"148""7",4,1,0,1,1,1
42,30.99,5.18,14,8,10,71,2,0,6.87,"148""7",7,2,3,1,1,0
2,30.77,5.01,7,17,12,78,1,0,6.83,"148""8",5,0,0,0,1,1
17,30.38,4.86,11,13,11,79,0,0,6.86,"148""2",8,1,2,0,0,0
22,29.76,5.11,9,16,21,84,0,0,6.85,"148""9",5,1,3,0,0,0
9,29.33,4.89,14,8,14,75,2,0,6.87,"149""1",10,3,0,0,1,0
56,28.57,4.86,8,12,13,70,0,0,6.87,"148""2",5,2,1,0,0,0
38,28.57,4.60,12,10,8,77,1,0,6.85,"148""0",5,1,5,0,1,0
1,28.21,5.15,6,16,17,78,0,0,6.85,"148""2",3,0,0,2,1,0
60,28.21,4.78,12,10,15,78,1,0,6.86,"148""8",8,1,1,0,2,0
31,27.78,4.74,12,8,12,72,1,0,6.84,"148""7",6,2,1,2,1,0
57,27.63,5.01,11,10,16,76,0,0,6.81,"148""8",7,1,1,2,0,0
52,27.16,4.72,12,10,12,81,1,0,6.83,"147""8",6,3,1,1,0,1
15,25.97,5.17,8,12,25,77,1,0,6.85,"148""1",4,1,2,0,0,1
50,25.97,4.99,10,10,14,77,0,0,6.87,"148""6",8,0,2,0,0,0
8,25.76,4.55,10,7,8,66,0,0,6.87,"148""6",7,1,1,0,0,1
40,25.68,4.84,10,9,17,74,0,0,6.85,"149""0",8,0,1,0,1,0
49,25.33,4.27,6,13,7,75,0,0,6.85,"148""9",5,0,0,1,0,0
18,24.64,4.51,8,9,14,69,0,0,6.83,"149""6",3,3,1,0,1,0
29,22.97,4.19,5,12,12,74,1,0,6.85,"148""6",2,0,1,2,0,0
37,22.58,4.08,6,8,10,62,0,0,6.84,"148""4",5,1,0,0,0,0
53,22.54,4.07,4,12,10,71,0,0,6.88,"150""1",1,1,0,0,2,0
5,22.39,4.33,5,10,10,67,0,0,6.87,"150""1",4,0,0,1,0,0
47,20.63,4.06,8,5,8,63,0,0,6.84,"148""2",5,0,2,0,1,0
21,20.59,3.96,9,5,8,68,1,0,6.85,"148""2",5,2,0,0,2,0
19,18.57,4.16,5,8,12,70,0,0,6.88,"149""9",3,1,0,0,1,0
13,13.85,3.51,4,5,9,65,0,0,6.81,"149""2",3,1,0,0,0,0
