モーター番号,2連対率,勝率,1着,2着,3着,出走回数,優出回数,優勝回数,平均展示タイム,最高タイム（1800m）,逃げ,まくり,差し,まくり差し,抜き,恵まれ
35,80.00,9.20,4,0,1,5,1,1,6.81,"148""7",2,1,0,1,0,0
28,70.00,7.30,3,4,1,10,1,0,6.84,"149""4",2,0,0,0,1,0
32,66.67,8.00,4,0,0,6,0,0,6.84,"150""9",2,1,0,0,1,0
12,63.64,7.27,4,3,1,11,0,0,6.79,"149""1",3,1,0,0,0,0
59,63.64,6.00,0,7,1,11,0,0,6.87,"150""5",0,0,0,0,0,0
55,60.00,7.20,2,1,1,5,1,0,6.88,"152""6",1,0,0,0,1,0
7,60.00,6.80,0,3,1,5,1,0,6.90,"150""8",0,0,0,0,0,0
3,60.00,6.60,2,1,0,5,1,0,6.90,"150""2",1,0,0,1,0,0
56,60.00,5.80,0,3,0,5,0,0,6.91,"151""1",0,0,0,0,0,0
36,57.14,6.86,3,1,0,7,0,0,6.83,"148""8",2,0,1,0,0,0
51,57.14,6.29,2,6,0,14,1,0,6.85,"148""8",1,0,0,1,0,0
10,53.33,6.47,6,2,2,15,1,1,6.76,"149""0",3,1,1,1,0,0
14,50.00,6.40,4,1,1,10,1,0,6.75,"149""0",1,1,1,1,0,0
41,50.00,6.17,2,1,1,6,0,0,6.86,"151""2",1,1,0,0,0,0
20,50.00,5.50,1,2,0,6,0,0,6.87,"149""9",1,0,0,0,0,0
25,50.00,5.50,2,1,0,6,0,0,6.84,"151""6",1,0,0,1,0,0
39,43.75,5.56,0,7,3,16,0,0,6.82,"150""4",0,0,0,0,0,0
6,41.67,6.00,4,1,2,12,0,0,6.85,"149""1",2,1,1,0,0,0
40,40.00,7.20,1,1,3,5,0,0,6.87,"151""7",1,0,0,0,0,0
11,40.00,7.00,4,0,4,10,1,0,6.81,"147""5",3,1,0,0,0,0
34,40.00,6.33,4,2,5,15,0,0,6.82,"148""9",4,0,0,0,0,0
46,40.00,6.10,4,0,1,10,0,0,6.85,"148""0",3,0,1,0,0,0
61,40.00,5.70,3,1,2,10,1,0,6.82,"151""0",1,0,2,0,0,0
58,40.00,5.00,0,2,1,5,0,0,6.93,"153""2",0,0,0,0,0,0
31,40.00,4.90,1,3,1,10,0,0,6.85,"150""1",0,0,0,1,0,0
42,37.50,6.38,5,1,3,16,1,0,6.88,"150""2",3,1,1,0,0,0
26,37.50,5.19,3,3,2,16,0,0,6.80,"149""6",1,0,0,1,1,0
62,36.36,5.55,2,2,3,11,0,0,6.83,"150""6",2,0,0,0,0,0
57,35.29,5.76,3,3,5,17,0,0,6.75,"148""9",2,0,0,1,0,0
8,33.33,5.83,1,1,2,6,0,0,6.88,"152""9",1,0,0,0,0,0
50,33.33,5.50,1,1,1,6,0,0,6.86,"150""0",1,0,0,0,0,0
23,33.33,5.33,2,3,3,15,1,0,6.85,"149""6",1,0,0,0,1,0
9,33.33,5.17,1,1,1,6,0,0,6.91,"152""3",1,0,0,0,0,0
38,33.33,4.67,3,2,0,15,0,0,6.88,"149""9",1,0,1,0,1,0
4,31.25,4.75,2,3,2,16,0,0,6.89,"149""5",1,0,0,0,1,0
53,30.77,5.00,0,4,3,13,0,0,6.90,"151""1",0,0,0,0,0,0
60,30.00,4.60,1,2,2,10,0,0,6.92,"149""6",1,0,0,0,0,0
54,29.41,5.71,1,4,6,17,0,0,6.86,"150""4",1,0,0,0,0,0
24,28.57,4.14,0,2,0,7,0,0,6.85,"151""3",0,0,0,0,0,0
47,27.27,6.18,3,0,4,11,0,0,6.86,"149""0",2,0,1,0,0,0
21,27.27,4.00,2,1,1,11,0,0,6.90,"151""1",2,0,0,0,0,0
45,27.27,3.82,3,0,0,11,0,0,6.87,"149""5",1,1,0,1,0,0
2,26.67,4.73,1,3,1,15,0,0,6.84,"150""8",1,0,0,0,0,0
5,26.67,4.47,0,4,2,15,0,0,6.88,"151""1",0,0,0,0,0,0
48,25.00,4.81,3,1,3,16,0,0,6.82,"148""6",2,0,1,0,0,0
17,25.00,4.50,2,2,2,16,0,0,6.87,"149""4",2,0,0,0,0,0
16,25.00,3.63,0,2,0,8,0,0,6.89,"151""0",0,0,0,0,0,0
33,23.08,5.15,0,3,4,13,0,0,6.89,"151""5",0,0,0,0,0,0
30,22.22,5.00,1,1,2,9,0,0,6.85,"148""1",1,0,0,0,0,0
18,22.22,4.56,2,0,1,9,0,0,6.81,"150""2",1,1,0,0,0,0
13,22.22,4.11,0,2,1,9,0,0,6.68,"152""4",0,0,0,0,0,0
27,21.43,3.64,2,1,1,14,0,0,6.85,"149""3",2,0,0,0,0,0
52,20.00,4.33,2,1,3,15,0,0,6.84,"151""7",1,1,0,0,0,0
37,20.00,3.73,2,1,2,15,0,0,6.88,"150""9",2,0,0,0,0,0
19,20.00,3.60,0,1,1,5,0,0,6.93,"152""2",0,0,0,0,0,0
44,16.67,3.67,1,0,1,6,0,0,6.87,"151""0",1,0,0,0,0,0
15,14.29,6.29,0,1,6,7,0,0,6.89,"152""2",0,0,0,0,0,0
43,11.11,3.67,0,1,2,9,0,0,6.89,"150""0",0,0,0,0,0,0
29,11.11,2.89,1,0,1,9,0,0,6.88,"151""4",1,0,0,0,0,0
1,6.67,4.60,0,1,5,15,0,0,6.84,"152""0",0,0,0,0,0,0
22,6.67,3.27,1,0,3,15,0,0,6.88,"149""8",1,0,0,0,0,0
49,0.00,1.79,0,0,0,14,0,0,6.87,"153""3",0,0,0,0,0,0
