モーター番号,2連対率,勝率,1着,2着,3着,出走回数,優出回数,優勝回数,平均展示タイム,最高タイム（1800m）,逃げ,まくり,差し,まくり差し,抜き,恵まれ
12,56.60,6.96,32,28,22,106,6,1,6.79,"147""7",20,5,1,4,2,0
10,47.79,5.77,28,26,10,113,4,1,6.81,"148""4",17,4,4,3,0,0
11,47.27,6.23,27,25,20,110,2,0,6.80,"147""5",17,4,3,3,0,0
34,46.49,6.32,34,19,23,114,3,1,6.80,"148""1",17,8,4,2,2,1
28,46.22,5.83,27,28,12,119,2,0,6.86,"147""4",16,4,1,2,4,0
46,46.02,6.03,30,22,17,113,2,1,6.87,"147""5",17,4,3,5,1,0
14,42.99,6.03,24,22,21,107,4,1,6.78,"148""1",10,5,4,4,1,0
48,41.38,5.64,26,22,16,116,3,0,6.82,"148""3",12,3,5,4,2,0
6,41.07,5.83,29,17,21,112,2,1,6.81,"147""8",16,3,3,4,3,0
30,40.98,5.80,30,20,17,122,2,1,6.81,"147""2",13,10,2,3,2,0
36,40.91,5.66,20,25,17,110,2,0,6.84,"148""5",12,4,2,0,2,0
39,40.35,5.62,20,26,19,114,2,1,6.85,"147""9",14,1,3,2,0,0
61,39.32,5.71,25,21,25,117,2,0,6.85,"147""7",15,4,4,1,1,0
45,39.29,5.54,29,15,17,112,4,1,6.85,"148""1",16,4,5,3,1,0
23,39.13,5.41,25,20,16,115,5,1,6.85,"147""8",12,4,4,2,2,1
58,38.94,5.86,20,24,27,113,1,0,6.86,"147""6",10,2,5,2,1,0
7,38.89,5.74,18,24,24,108,2,0,6.83,"147""4",9,2,4,3,0,0
24,38.66,5.51,24,22,15,119,1,0,6.85,"146""6",13,4,5,1,0,1
54,36.89,5.56,19,26,27,122,2,0,6.85,"147""5",11,2,4,1,0,1
25,36.44,5.25,29,14,17,118,3,1,6.82,"147""4",14,3,4,3,4,1
42,36.13,5.51,21,22,18,119,5,0,6.85,"148""7",11,3,5,1,1,0
57,35.59,5.40,23,19,21,118,1,0,6.80,"148""8",12,8,1,2,0,0
26,35.34,5.32,21,20,21,116,1,0,6.84,"148""7",7,5,4,2,2,1
16,35.19,5.05,19,19,13,108,3,1,6.84,"147""4",8,5,3,2,1,0
33,34.82,5.85,19,20,28,112,3,0,6.86,"148""4",12,3,1,1,2,0
55,34.45,5.21,15,26,24,119,2,0,6.85,"148""3",13,0,0,1,1,0
20,34.43,5.24,18,24,18,122,1,1,6.85,"147""8",11,0,4,3,0,0
51,34.17,4.92,19,22,14,120,4,1,6.86,"148""8",10,4,1,3,1,0
35,33.96,5.43,18,18,21,106,1,1,6.88,"148""7",11,3,1,3,0,0
41,33.64,5.40,21,15,25,107,2,0,6.83,"148""0",12,2,3,1,2,1
3,33.63,5.00,12,26,19,113,2,0,6.82,"147""8",8,2,0,2,0,0
32,33.33,5.30,20,17,18,111,2,0,6.83,"147""7",9,3,4,0,3,1
43,33.33,5.07,23,16,20,117,0,0,6.84,"148""3",10,4,5,3,1,0
4,32.43,5.21,19,17,21,111,0,0,6.83,"146""0",11,3,2,2,1,0
44,31.19,5.24,17,17,21,109,1,0,6.85,"147""3",7,2,1,4,3,0
1,30.77,5.17,10,26,23,117,1,0,6.85,"148""1",6,0,1,2,1,0
40,30.63,5.13,17,17,23,111,1,0,6.83,"148""6",10,2,2,2,1,0
27,30.43,4.76,19,16,13,115,0,0,6.85,"148""7",9,4,0,4,2,0
9,30.09,4.88,20,14,21,113,2,0,6.87,"149""1",11,5,1,0,3,0
17,29.46,4.68,12,21,13,112,0,0,6.87,"148""2",8,2,2,0,0,0
38,29.25,4.58,17,14,10,106,1,0,6.86,"148""0",9,1,6,0,1,0
2,29.09,4.78,10,22,14,110,2,0,6.85,"148""8",7,0,1,0,1,1
31,28.30,4.72,20,10,13,106,1,0,6.86,"148""7",11,3,2,2,1,1
21,27.87,4.56,20,14,17,122,2,0,6.85,"148""2",12,4,1,1,2,0
29,27.73,4.85,17,16,23,119,2,1,6.86,"148""6",7,1,3,5,1,0
18,27.43,4.55,16,15,15,113,0,0,6.85,"149""6",7,5,2,0,2,0
8,27.19,4.61,15,16,15,114,2,0,6.87,"148""6",11,1,1,0,1,1
5,27.19,4.59,12,19,17,114,1,0,6.86,"149""8",9,2,0,1,0,0
62,26.72,4.58,15,16,19,116,1,0,6.86,"147""1",8,0,6,1,0,0
49,26.67,4.58,14,18,16,120,2,0,6.85,"148""6",9,1,0,2,1,1
59,26.50,4.38,10,21,13,117,1,0,6.86,"148""7",6,1,0,1,1,1
53,26.32,4.42,13,17,17,114,1,1,6.88,"149""9",7,2,0,2,2,0
56,25.86,4.93,17,13,26,116,0,0,6.88,"148""2",12,3,1,0,1,0
15,25.00,5.08,11,17,34,112,1,0,6.86,"148""1",6,1,3,0,0,1
13,24.77,4.35,9,18,17,109,1,0,6.83,"149""2",5,1,0,2,1,0
50,24.58,4.78,13,16,23,118,0,0,6.88,"148""6",11,0,2,0,0,0
60,24.37,4.71,16,13,26,119,1,0,6.87,"148""8",9,2,1,2,2,0
19,24.32,4.59,13,14,17,111,1,1,6.88,"148""9",6,3,0,2,2,0
22,24.11,4.52,9,18,23,112,0,0,6.86,"148""9",5,1,3,0,0,0
47,23.36,4.16,11,14,12,107,0,0,6.87,"148""2",7,0,2,1,1,0
37,23.08,4.02,11,13,14,104,1,0,6.86,"148""4",8,1,0,1,1,0
52,22.41,4.61,15,11,23,116,1,0,6.85,"147""8",8,4,1,1,0,1
