モーター番号,2連対率,勝率,1着,2着,3着,出走回数,優出回数,優勝回数,平均展示タイム,最高タイム（1800m）,逃げ,まくり,差し,まくり差し,抜き,恵まれ
12,61.25,7.34,25,24,18,80,5,1,6.80,"147""7",18,2,1,2,2,0
11,50.00,6.49,21,18,15,78,2,0,6.80,"147""5",13,4,2,2,0,0
10,50.00,5.79,21,19,5,80,3,1,6.81,"148""4",14,4,2,1,0,0
46,48.15,6.23,26,13,12,81,2,1,6.87,"147""5",14,3,3,5,1,0
28,45.88,5.92,21,18,10,85,1,0,6.86,"147""4",13,3,0,1,4,0
14,45.45,6.35,18,17,18,77,2,1,6.77,"148""1",7,3,4,3,1,0
61,42.53,6.05,20,17,19,87,1,0,6.84,"147""7",12,3,4,0,1,0
45,42.50,5.88,21,13,15,80,3,0,6.85,"148""1",10,4,4,2,1,0
58,42.35,5.89,16,20,16,85,0,0,6.86,"147""6",9,1,4,2,0,0
25,42.35,5.47,24,12,7,85,3,1,6.81,"147""4",11,3,3,3,3,1
36,41.25,5.63,14,19,12,80,1,0,6.83,"148""5",10,2,1,0,1,0
16,40.48,5.20,18,16,5,84,3,1,6.85,"147""4",7,5,3,2,1,0
39,40.24,5.54,13,20,14,82,1,1,6.84,"147""9",10,1,1,1,0,0
30,39.76,5.83,20,13,12,83,2,1,6.80,"147""2",9,7,1,1,2,0
54,39.53,5.73,15,19,18,86,2,0,6.84,"147""5",7,2,4,1,0,1
23,39.29,5.30,19,14,10,84,4,1,6.84,"147""8",11,4,3,0,1,0
6,39.02,5.54,19,13,13,82,1,0,6.80,"147""8",10,2,3,3,1,0
48,38.82,5.65,22,11,14,85,2,0,6.82,"148""3",10,3,4,4,1,0
7,38.67,5.65,14,15,16,75,2,0,6.83,"147""4",9,1,2,2,0,0
24,38.27,5.57,15,16,11,81,1,0,6.85,"146""6",7,2,4,1,0,1
26,38.10,5.36,14,18,14,84,1,0,6.83,"148""7",3,4,3,2,2,0
51,36.90,4.94,14,17,8,84,3,1,6.86,"148""8",10,1,1,2,0,0
20,36.47,5.34,16,15,12,85,1,1,6.85,"147""8",9,0,4,3,0,0
4,35.96,5.46,16,16,17,89,0,0,6.83,"146""0",9,3,1,2,1,0
41,35.90,5.44,15,13,17,78,2,0,6.83,"148""2",9,1,1,1,2,1
32,35.80,5.40,15,14,11,81,2,0,6.84,"147""7",8,1,3,0,2,1
33,35.00,5.91,14,14,21,80,2,0,6.86,"148""4",9,2,1,1,1,0
34,35.00,5.78,18,10,22,80,2,1,6.82,"148""1",10,4,2,1,1,0
35,34.62,5.59,15,12,17,78,1,1,6.87,"148""7",9,3,1,2,0,0
43,33.33,5.26,16,10,16,78,0,0,6.85,"148""3",7,4,3,1,1,0
3,32.95,4.76,9,20,10,88,2,0,6.83,"147""8",6,1,0,2,0,0
42,32.94,5.36,18,10,12,85,3,0,6.85,"148""7",9,3,4,1,1,0
55,32.56,4.99,12,16,15,86,2,0,6.85,"148""3",10,0,0,1,1,0
44,32.50,5.26,12,14,14,80,1,0,6.83,"147""3",5,0,1,3,3,0
27,32.14,4.86,13,14,10,84,0,0,6.85,"148""7",7,3,0,2,1,0
59,31.03,4.71,9,18,10,87,1,0,6.85,"148""7",5,1,0,1,1,1
17,30.59,4.80,12,14,11,85,0,0,6.86,"148""2",8,2,2,0,0,0
40,29.63,5.09,12,12,18,81,1,0,6.85,"149""0",8,1,2,0,1,0
9,29.63,4.89,15,9,15,81,2,0,6.86,"149""1",11,3,0,0,1,0
38,29.41,4.68,15,10,8,85,1,0,6.85,"148""0",7,1,6,0,1,0
62,29.07,4.79,12,13,16,86,1,0,6.85,"147""1",7,0,5,0,0,0
22,28.89,4.99,9,17,21,90,0,0,6.85,"148""9",5,1,3,0,0,0
2,28.57,4.87,7,17,13,84,1,0,6.84,"148""8",5,0,0,0,1,1
1,28.24,5.13,6,18,17,85,0,0,6.85,"148""2",3,0,0,2,1,0
18,27.71,4.66,10,13,15,83,0,0,6.84,"149""6",3,4,1,0,2,0
49,27.16,4.43,8,14,8,81,1,0,6.85,"148""6",6,0,0,2,0,0
60,27.06,4.84,12,11,19,85,1,0,6.87,"148""8",8,1,1,0,2,0
31,26.92,4.69,13,8,13,78,1,0,6.84,"148""7",7,2,1,2,1,0
57,26.83,4.98,11,11,18,82,0,0,6.82,"148""8",7,1,1,2,0,0
15,26.19,5.17,8,14,27,84,1,0,6.85,"148""1",4,1,2,0,0,1
52,26.14,4.77,13,10,15,88,1,0,6.84,"147""8",7,3,1,1,0,1
56,24.39,4.66,8,12,17,82,0,0,6.88,"148""2",5,2,1,0,0,0
5,24.32,4.54,7,11,12,74,1,0,6.87,"149""9",5,1,0,1,0,0
50,24.10,4.87,10,10,16,83,0,0,6.87,"148""6",8,0,2,0,0,0
53,23.81,4.19,6,14,11,84,0,0,6.88,"149""9",3,1,0,0,2,0
8,22.78,4.43,10,8,11,79,0,0,6.88,"148""6",7,1,1,0,0,1
29,22.22,4.22,6,12,14,81,1,0,6.85,"148""6",2,0,2,2,0,0
37,21.05,3.93,7,9,11,76,0,0,6.85,"148""4",6,1,0,0,0,0
47,20.78,3.97,9,7,9,77,0,0,6.85,"148""2",5,0,2,1,1,0
21,20.73,3.96,10,7,10,82,1,0,6.85,"148""2",6,2,0,0,2,0
19,20.48,4.33,8,9,14,83,0,0,6.88,"149""9",5,2,0,0,1,0
13,17.72,3.73,5,9,11,79,0,0,6.82,"149""2",3,1,0,0,1,0
