lane1_score,lane2_score,lane3_score,lane4_score,lane5_score,lane6_score,lane1_rank,lane2_rank,lane3_rank,lane4_rank,lane5_rank,lane6_rank,race_key,trifecta_odds,scores,ranks,true_order_prob,true_order_rank
1.4107482,-0.60141474,-0.13025738,-0.5656345,-0.8816579,-1.6558506,1,6,4,3,2,5,2025-01-01-01-若 松,25.2,"[1.4107482433319092, -0.6014147400856018, -0.13025738298892975, -0.5656344890594482, -0.8816578984260559, -1.6558506488800049]","[1, 6, 4, 3, 2, 5]",0.0035562096274883376,75
-0.07198895,0.50615996,1.9677806,-1.0941299,-1.0353621,-1.6485716,1,4,2,5,6,3,2025-01-01-02-若 松,84.8,"[-0.07198894768953323, 0.5061599612236023, 1.967780590057373, -1.0941299200057983, -1.0353621244430542, -1.6485716104507446]","[1, 4, 2, 5, 6, 3]",0.0016762752551034105,121
0.47722253,-0.34303612,-1.7416968,-0.9174986,-0.05596287,1.1863511,4,3,6,2,5,1,2025-01-01-03-若 松,1517.3,"[0.4772225320339203, -0.34303611516952515, -1.741696834564209, -0.9174985885620117, -0.05596287176012993, 1.1863510608673096]","[4, 3, 6, 2, 5, 1]",0.004909930974540062,53
-1.8955477,-0.38763195,-0.7508172,1.9141635,0.9595692,-1.859292,4,3,5,2,1,6,2025-01-01-04-若 松,15.4,"[-1.8955477476119995, -0.38763195276260376, -0.7508171796798706, 1.9141634702682495, 0.9595692157745361, -1.8592920303344727]","[4, 3, 5, 2, 1, 6]",0.013399127739221202,20
1.6941582,0.37944797,-1.5889984,-0.33753616,-1.0467695,-2.1491914,1,2,6,3,4,5,2025-01-01-05-若 松,2.6,"[1.6941581964492798, 0.37944796681404114, -1.5889984369277954, -0.33753615617752075, -1.0467694997787476, -2.149191379547119]","[1, 2, 6, 3, 4, 5]",0.03297977066959331,5
0.061907213,1.4938508,-0.14837521,-0.9693691,-2.9195087,0.40806335,6,2,3,5,4,1,2025-01-01-06-若 松,78.2,"[0.06190721318125725, 1.493850827217102, -0.14837521314620972, -0.969369113445282, -2.919508695602417, 0.4080633521080017]","[6, 2, 3, 5, 4, 1]",0.0004091840434094052,179
1.4130443,0.2589729,0.87641716,-1.0000427,-1.170013,-2.253302,1,3,2,4,6,5,2025-01-01-07-若 松,4.8,"[1.4130443334579468, 0.2589729130268097, 0.8764171600341797, -1.0000426769256592, -1.1700129508972168, -2.2533020973205566]","[1, 3, 2, 4, 6, 5]",0.018978930072330383,11
1.4156755,-0.17359743,0.34170347,-1.3646826,-2.0272593,-1.5298404,1,3,2,4,5,6,2025-01-01-08-若 松,3.6,"[1.4156755208969116, -0.17359742522239685, 0.34170347452163696, -1.3646825551986694, -2.027259349822998, -1.529840350151062]","[1, 3, 2, 4, 5, 6]",0.02715805492263298,5
1.3662273,-0.60295475,0.33940434,-0.76259786,-2.245217,0.12463973,1,5,2,4,6,3,2025-01-01-09-若 松,7.2,"[1.3662272691726685, -0.6029547452926636, 0.3394043445587158, -0.7625978589057922, -2.2452170848846436, 0.12463972717523575]","[1, 5, 2, 4, 6, 3]",0.0348844532754269,3
1.361637,0.16625158,-0.41624874,-1.0225191,-2.0533292,-0.24118395,1,2,3,4,5,6,2025-01-01-10-若 松,11.0,"[1.361636996269226, 0.16625158488750458, -0.41624873876571655, -1.0225191116333008, -2.0533292293548584, -0.24118395149707794]","[1, 2, 3, 4, 5, 6]",0.002852360241877787,81
