weather_txt,n,hit_rate,avg_odds_on_hits,roi,top_n,condition,wind_speed_bin,wind_compass8,wind_relative,wave_height_bin,air_temp_bin,water_temp_bin,venue
晴,328.0,0.036585365853658534,32.616666666666674,0.19329268292682955,1,weather_txt,,,,,,,
曇り,96.0,0.010416666666666666,3.5,-0.9635416666666666,1,weather_txt,,,,,,,
,199.0,0.035175879396984924,30.200000000000006,0.06231155778894489,1,wind_speed_bin,"(-inf, 2.0]",,,,,,
,195.0,0.03076923076923077,31.133333333333336,-0.042051282051281995,1,wind_speed_bin,"(2.0, 4.0]",,,,,,
,61.0,0.01639344262295082,7.0,-0.8852459016393442,1,wind_speed_bin,"(4.0, 6.0]",,,,,,
,88.0,0.022727272727272728,9.55,-0.7829545454545456,1,wind_compass8,,E,,,,,
,107.0,0.028037383177570093,53.06666666666666,0.48785046728971954,1,wind_compass8,,N,,,,,
,105.0,0.047619047619047616,7.960000000000001,-0.6209523809523808,1,wind_compass8,,NE,,,,,
,82.0,0.0,,-1.0,1,wind_compass8,,SE,,,,,
,278.0,0.025179856115107913,8.414285714285715,-0.7881294964028777,1,wind_relative,,,headwind,,,,
,169.0,0.04142011834319527,49.471428571428575,1.049112426035503,1,wind_relative,,,tailwind,,,,
,97.0,0.041237113402061855,6.175,-0.7453608247422681,1,wave_height_bin,,,,"(0.5, 1.0]",,,
,93.0,0.03225806451612903,62.23333333333334,1.0075268817204304,1,wave_height_bin,,,,"(1.0, 2.0]",,,
,257.0,0.027237354085603113,27.685714285714287,-0.2459143968871595,1,wave_height_bin,,,,"(2.0, inf]",,,
,128.0,0.0234375,7.466666666666668,-0.825,1,air_temp_bin,,,,,"(13.999, 21.0]",,
,104.0,0.028846153846153848,21.833333333333332,-0.3701923076923077,1,air_temp_bin,,,,,"(21.0, 25.0]",,
,114.0,0.03508771929824561,31.299999999999997,0.09824561403508762,1,air_temp_bin,,,,,"(25.0, 29.0]",,
,110.0,0.03636363636363636,48.025000000000006,0.7463636363636366,1,air_temp_bin,,,,,"(29.0, 33.0]",,
,120.0,0.025,7.466666666666668,-0.8133333333333332,1,water_temp_bin,,,,,,"(16.999, 20.0]",
,132.0,0.030303030303030304,40.8,0.23636363636363628,1,water_temp_bin,,,,,,"(20.0, 25.0]",
,144.0,0.041666666666666664,35.18333333333334,0.4659722222222224,1,water_temp_bin,,,,,,"(25.0, 29.0]",
,60.0,0.016666666666666666,8.5,-0.8583333333333333,1,water_temp_bin,,,,,,"(29.0, 30.0]",
,456.0,0.03070175438596491,28.94285714285715,-0.1114035087719296,1,venue,,,,,,,若松
晴,168.0,0.03571428571428571,34.650000000000006,0.2375000000000002,1,weather_txt × wind_speed_bin,"(-inf, 2.0]",,,,,,
晴,115.0,0.043478260869565216,35.3,0.5347826086956522,1,weather_txt × wind_speed_bin,"(2.0, 4.0]",,,,,,
曇り,61.0,0.0,,-1.0,1,weather_txt × wind_speed_bin,"(2.0, 4.0]",,,,,,
晴,80.0,0.0375,7.066666666666666,-0.735,1,weather_txt × wave_height_bin,,,,"(0.5, 1.0]",,,
晴,82.0,0.036585365853658534,62.23333333333334,1.2768292682926832,1,weather_txt × wave_height_bin,,,,"(1.0, 2.0]",,,
晴,160.0,0.0375,30.583333333333332,0.146875,1,weather_txt × wave_height_bin,,,,"(2.0, inf]",,,
曇り,75.0,0.0,,-1.0,1,weather_txt × wave_height_bin,,,,"(2.0, inf]",,,
,110.0,0.02727272727272727,7.066666666666666,-0.8072727272727273,1,wind_relative × wind_speed_bin,"(-inf, 2.0]",,headwind,,,,
,132.0,0.030303030303030304,9.425,-0.7143939393939394,1,wind_relative × wind_speed_bin,"(2.0, 4.0]",,headwind,,,,
,80.0,0.05,47.550000000000004,1.3775000000000002,1,wind_relative × wind_speed_bin,"(-inf, 2.0]",,tailwind,,,,
,63.0,0.031746031746031744,74.55,1.3666666666666665,1,wind_relative × wind_speed_bin,"(2.0, 4.0]",,tailwind,,,,
,278.0,0.025179856115107913,8.414285714285715,-0.7881294964028777,1,venue × wind_relative,,,headwind,,,,若松
,169.0,0.04142011834319527,49.471428571428575,1.049112426035503,1,venue × wind_relative,,,tailwind,,,,若松
晴,328.0,0.054878048780487805,33.99444444444444,-0.06722560975609759,2,weather_txt,,,,,,,
曇り,96.0,0.08333333333333333,34.9875,0.4578124999999999,2,weather_txt,,,,,,,
,199.0,0.06030150753768844,37.966666666666676,0.14472361809045245,2,wind_speed_bin,"(-inf, 2.0]",,,,,,
,195.0,0.07179487179487179,31.392857142857142,0.12692307692307692,2,wind_speed_bin,"(2.0, 4.0]",,,,,,
,61.0,0.01639344262295082,7.0,-0.9426229508196722,2,wind_speed_bin,"(4.0, 6.0]",,,,,,
,88.0,0.07954545454545454,24.271428571428572,-0.034659090909090876,2,wind_compass8,,E,,,,,
,107.0,0.056074766355140186,48.51666666666667,0.3602803738317758,2,wind_compass8,,N,,,,,
,105.0,0.05714285714285714,24.150000000000002,-0.31,2,wind_compass8,,NE,,,,,
,82.0,0.012195121951219513,30.6,-0.8134146341463415,2,wind_compass8,,SE,,,,,
,278.0,0.050359712230215826,24.671428571428574,-0.37877697841726615,2,wind_relative,,,headwind,,,,
,169.0,0.07100591715976332,45.625,0.6198224852071006,2,wind_relative,,,tailwind,,,,
,97.0,0.07216494845360824,35.25714285714286,0.2721649484536083,2,wave_height_bin,,,,"(0.5, 1.0]",,,
,93.0,0.043010752688172046,49.9,0.07311827956989245,2,wave_height_bin,,,,"(1.0, 2.0]",,,
,257.0,0.058365758754863814,29.766666666666666,-0.13132295719844359,2,wave_height_bin,,,,"(2.0, inf]",,,
,128.0,0.046875,16.28333333333333,-0.618359375,2,air_temp_bin,,,,,"(13.999, 21.0]",,
,104.0,0.08653846153846154,28.188888888888886,0.2197115384615384,2,air_temp_bin,,,,,"(21.0, 25.0]",,
,114.0,0.043859649122807015,36.279999999999994,-0.2043859649122808,2,air_temp_bin,,,,,"(25.0, 29.0]",,
,110.0,0.06363636363636363,52.75714285714287,0.6786363636363639,2,air_temp_bin,,,,,"(29.0, 33.0]",,
