,0
lane3_boat_firsts,0.003998756408691406
lane6_boat_starts,-0.0009965896606445312
lane4_boat_starts,-0.0011157989501953125
lane2_boat_starts,-0.0017638206481933594
lane6_boat_firsts,-0.0018143653869628906
lane4_boat_firsts,-0.0022974014282226562
lane2_boat_firsts,-0.0032815933227539062
lane3_boat_starts,-0.004566192626953125
lane1_boat_firsts,-0.004635810852050781
lane1_boat_starts,-0.004641532897949219
lane5_boat_starts,-0.005138874053955078
lane5_boat_firsts,-0.005150318145751953
lane6_motor_starts,-0.006400585174560547
lane4_motor_starts,-0.006636619567871094
lane3_motor_firsts,-0.007160663604736328
lane2_motor_firsts,-0.009659290313720703
lane1_motor_firsts,-0.011836528778076172
lane2_motor_starts,-0.012151241302490234
lane5_motor_firsts,-0.012197494506835938
lane6_motor_firsts,-0.012627601623535156
lane3_motor_starts,-0.013185501098632812
lane5_motor_starts,-0.013626575469970703
lane4_motor_firsts,-0.01780843734741211
lane1_motor_starts,-0.018263816833496094
