,0
lane4_three_rate,0.12549829483032227
lane1_exh_time,0.11194467544555664
lane2_three_rate,0.10394811630249023
lane5_exh_time,0.07982444763183594
lane6_three_rate,0.07789993286132812
lane5_three_rate,0.07590818405151367
lane3_three_rate,0.07499551773071289
lane1_three_rate,0.0510711669921875
lane1_two_rate,0.029291629791259766
lane1_first_rate,0.02828073501586914
lane2_two_rate,0.019871234893798828
lane4_two_rate,0.018285274505615234
lane6_exh_time,0.017936229705810547
lane3_two_rate,0.01464700698852539
lane2_fs_flag,0.011137008666992188
lane6_fs_flag,0.011073589324951172
lane2_first_rate,0.01033926010131836
lane2_exh_time,0.008272647857666016
lane4_exh_time,0.007960319519042969
wind_cos,0.007817268371582031
wind_sin,0.0074672698974609375
lane6_first_rate,0.00688934326171875
lane3_exh_time,0.005112171173095703
lane5_fs_flag,0.0047931671142578125
lane1_fs_flag,0.0039310455322265625
lane1_pat_nuki_rate_gated,0.003712177276611328
lane5_pat_gate,0.00335693359375
lane6_pat_sashi_rate_gated,0.0030417442321777344
lane2_pat_gate,0.0024127960205078125
lane1_pat_nige_rate_gated,0.002403736114501953
lane4_first_rate,0.0022020339965820312
lane2_pat_sashi_rate_gated,0.0018177032470703125
lane6_pat_gate,0.0016341209411621094
lane3_pat_nuki_rate_gated,0.0011754035949707031
lane5_pat_makuri_rate_gated,0.0010581016540527344
lane4_pat_nuki_rate_gated,0.0009746551513671875
lane4_pat_makurizashi_rate_gated,0.0009455680847167969
lane5_pat_makurizashi_rate_gated,0.0007433891296386719
lane3_pat_makurizashi_rate_gated,0.0007376670837402344
lane3_pat_makuri_rate_gated,0.000705718994140625
lane6_pat_nuki_rate_gated,0.0006313323974609375
lane1_pat_megumare_rate_gated,0.0005793571472167969
lane6_two_rate,0.00048160552978515625
lane1_lose_sashi_rate_gated,0.0003685951232910156
lane6_pat_makurizashi_rate_gated,0.0003476142883300781
lane2_pat_nige_rate_gated,0.0003237724304199219
lane5_pat_sashi_rate_gated,0.00031757354736328125
lane3_pat_sashi_rate_gated,0.00017786026000976562
lane6_pat_megumare_rate_gated,9.489059448242188e-05
lane1_lose_nuki_rate_gated,7.343292236328125e-05
lane5_pat_megumare_rate_gated,3.719329833984375e-05
lane3_pat_megumare_rate_gated,1.5735626220703125e-05
lane6_pat_nige_rate_gated,0.0
lane6_st,0.0
lane5_pat_nige_rate_gated,0.0
lane5_pat_other_rate_gated,0.0
lane5_st,0.0
venue,0.0
lane6_pat_other_rate_gated,0.0
water_temp,0.0
air_temp,0.0
lane4_st,0.0
lane3_pat_other_rate_gated,0.0
lane1_pat_makuri_rate_gated,0.0
lane1_pat_makurizashi_rate_gated,0.0
lane1_pat_other_rate_gated,0.0
lane1_pat_sashi_rate_gated,0.0
lane1_st,0.0
lane2_st,0.0
lane3_fs_flag,0.0
lane3_pat_nige_rate_gated,0.0
lane2_pat_other_rate_gated,0.0
lane4_pat_other_rate_gated,0.0
lane4_fs_flag,0.0
lane3_st,0.0
lane4_pat_nige_rate_gated,0.0
lane1_lose_gate,-6.103515625e-05
lane4_pat_megumare_rate_gated,-0.00012636184692382812
lane1_lose_makuri_rate_gated,-0.00014209747314453125
lane2_pat_megumare_rate_gated,-0.00018215179443359375
lane2_pat_makurizashi_rate_gated,-0.00021982192993164062
lane2_pat_nuki_rate_gated,-0.0002455711364746094
lane5_pat_nuki_rate_gated,-0.0007367134094238281
lane1_lose_penalty_rate_gated,-0.0007491111755371094
lane1_lose_makurizashi_rate_gated,-0.0008254051208496094
lane3_first_rate,-0.0008597373962402344
lane4_pat_gate,-0.0008769035339355469
lane4_pat_makuri_rate_gated,-0.0009446144104003906
lane2_pat_makuri_rate_gated,-0.001300811767578125
lane6_pat_makuri_rate_gated,-0.0020780563354492188
lane4_pat_sashi_rate_gated,-0.0022907257080078125
wind_speed,-0.0025801658630371094
lane3_pat_gate,-0.0026144981384277344
wave_height,-0.0030059814453125
lane1_pat_gate,-0.0038852691650390625
lane5_first_rate,-0.014370918273925781
lane5_two_rate,-0.015750408172607422
