race_key,trifecta_odds,scores,ranks,true_order_prob,true_order_rank
若松_20250421_1,37.5,"[1.2052738666534424, -1.1868003606796265, -1.5595184564590454, 3.1453750133514404, 0.12470576167106628, 0.795975923538208]","[2, 6, 5, 1, 4, 3]",0.05687109861222918,3
若松_20250421_10,86.2,"[-0.01565634272992611, 2.0450823307037354, -0.7108920812606812, -1.0794512033462524, 0.8377959728240967, -1.5097072124481201]","[2, 1, 5, 3, 4, 6]",0.007719650219408664,37
若松_20250421_11,5.9,"[4.322993278503418, 0.7147058248519897, 1.1457245349884033, -1.59587824344635, -1.0943418741226196, -0.7687851786613464]","[1, 2, 3, 6, 5, 4]",0.06675535244594663,3
若松_20250421_12,26.0,"[1.6969596147537231, 0.4079914391040802, -0.08111480623483658, 0.47480112314224243, -1.2828994989395142, 0.4842539131641388]","[1, 6, 3, 2, 5, 4]",0.0020533307343988446,106
若松_20250421_2,38.6,"[2.5370781421661377, -0.24886995553970337, 1.7481456995010376, 0.18214325606822968, 1.3168283700942993, 0.14785920083522797]","[1, 4, 2, 5, 3, 6]",0.015639233831114947,10
若松_20250421_3,201.4,"[-0.5841166973114014, 2.55045223236084, 1.0224273204803467, 1.4946069717407227, 0.8959671258926392, -0.7554766535758972]","[5, 2, 1, 6, 3, 4]",0.0002145282140837387,296
若松_20250421_4,24.5,"[4.466166973114014, 0.3550232946872711, 2.179847478866577, 1.4030475616455078, 1.5075054168701172, 0.25389039516448975]","[1, 5, 3, 2, 6, 4]",0.003860724630089402,65
若松_20250421_5,11.0,"[2.792935848236084, 0.9053815603256226, 0.8472639918327332, 1.2944222688674927, 0.09207804501056671, -0.38691702485084534]","[1, 5, 3, 2, 6, 4]",0.008609239955523415,27
若松_20250421_6,120.1,"[1.6291052103042603, 1.7293967008590698, 1.154937744140625, 0.7026123404502869, 1.013593077659607, 2.1053783893585205]","[4, 5, 2, 6, 1, 3]",0.0015526786840368628,219
若松_20250421_7,15.1,"[2.959433078765869, 1.4459058046340942, 0.8867392539978027, 0.28322070837020874, -0.1016409769654274, 0.798193633556366]","[1, 6, 5, 3, 4, 2]",0.0008188224507585603,222
若松_20250421_8,9.4,"[4.514884948730469, 0.7937434315681458, 0.17296715080738068, 1.9272973537445068, -0.013690492138266563, -0.589920699596405]","[1, 3, 4, 2, 6, 5]",0.03612799178644597,5
若松_20250421_9,87.9,"[3.064807415008545, 1.0259664058685303, 2.151808977127075, 1.5845255851745605, 0.6094586849212646, 0.6663846969604492]","[4, 5, 2, 1, 6, 3]",0.0009516807744725975,219
若松_20250424_1,8.5,"[2.587897539138794, 0.6863881349563599, 1.4006232023239136, -1.5151491165161133, 0.8949857950210571, -1.1228814125061035]","[1, 3, 2, 6, 4, 5]",0.052071848193840004,2
若松_20250424_10,5.8,"[3.5159871578216553, -0.48198914527893066, 1.2801417112350464, -0.29478585720062256, -0.9923333525657654, 1.3244065046310425]","[1, 4, 2, 3, 6, 5]",0.005000574255235227,48
