,0
lane1_first_rate,0.04409921169281006
lane4_first_rate,0.018428564071655273
lane4_three_rate,0.01805901527404785
lane5_three_rate,0.016856670379638672
lane1_two_rate,0.01561594009399414
lane3_two_rate,0.01560962200164795
lane2_first_rate,0.015189886093139648
lane6_three_rate,0.013456940650939941
lane2_two_rate,0.012443065643310547
lane3_first_rate,0.012408614158630371
lane3_three_rate,0.012115240097045898
lane1_three_rate,0.011758208274841309
lane4_two_rate,0.011094808578491211
lane2_three_rate,0.008597731590270996
lane1_exh_time,0.008567094802856445
lane6_first_rate,0.005901694297790527
lane5_exh_time,0.005772709846496582
lane4_exh_time,0.0051038265228271484
lane6_two_rate,0.004462838172912598
lane6_exh_time,0.004240989685058594
wind_sin,0.0027399063110351562
lane5_two_rate,0.002737879753112793
lane2_exh_time,0.002607583999633789
lane1_fs_flag,0.00044858455657958984
lane5_fs_flag,0.00035941600799560547
wind_speed,0.0003337860107421875
lane2_fs_flag,0.00024008750915527344
lane3_exh_time,7.212162017822266e-05
lane3_starts,0.0
lane3_firsts,0.0
lane4_starts,0.0
lane4_firsts,0.0
lane5_starts,0.0
lane5_firsts,0.0
lane6_starts,0.0
lane2_firsts,0.0
lane2_starts,0.0
lane6_firsts,0.0
venue,0.0
lane6_st,0.0
lane1_firsts,0.0
lane3_course,0.0
air_temp,0.0
water_temp,0.0
weather_txt,0.0
wind_dir_deg,0.0
lane1_racer_id,0.0
lane1_st,0.0
lane1_course,0.0
lane2_racer_id,0.0
lane2_st,0.0
lane2_course,0.0
lane3_racer_id,0.0
lane1_starts,0.0
lane3_st,0.0
lane3_fs_flag,0.0
lane4_racer_id,0.0
lane4_st,0.0
lane4_course,0.0
lane4_fs_flag,0.0
lane5_racer_id,0.0
lane5_st,0.0
lane5_course,0.0
lane6_racer_id,0.0
win_pattern,0.0
lane6_course,0.0
venue_id,0.0
lane6_fs_flag,-2.7418136596679688e-05
wind_cos,-0.0007338523864746094
wave_height,-0.000935673713684082
lane5_first_rate,-0.002278566360473633
