lane1_score,lane2_score,lane3_score,lane4_score,lane5_score,lane6_score,lane1_rank,lane2_rank,lane3_rank,lane4_rank,lane5_rank,lane6_rank,race_key,trifecta_odds,scores,ranks,true_order_prob,true_order_rank
2.2209344,0.42893723,0.18849172,0.1936786,0.85062504,-0.09880235,1,6,4,3,2,5,2025-01-01-01-若 松,25.2,"[2.2209343910217285, 0.42893722653388977, 0.18849171698093414, 0.1936786025762558, 0.8506250381469727, -0.098802350461483]","[1, 6, 4, 3, 2, 5]",0.005589695807459494,42
-0.18709323,0.29743937,1.8507558,-0.54047894,0.17795628,-0.21422142,1,4,2,5,6,3,2025-01-01-02-若 松,84.8,"[-0.18709322810173035, 0.2974393665790558, 1.8507558107376099, -0.5404789447784424, 0.17795628309249878, -0.21422141790390015]","[1, 4, 2, 5, 6, 3]",0.0013369148153717064,232
0.2213393,0.83490205,-0.33821926,-0.073621504,0.9558226,1.6647696,4,3,6,2,5,1,2025-01-01-03-若 松,1517.3,"[0.22133930027484894, 0.8349020481109619, -0.3382192552089691, -0.07362150400876999, 0.9558225870132446, 1.6647696495056152]","[4, 3, 6, 2, 5, 1]",0.0034694954272621627,84
-0.5600699,1.0276306,-0.16704473,2.1228383,2.626548,-0.3254683,4,3,5,2,1,6,2025-01-01-04-若 松,15.4,"[-0.5600699186325073, 1.0276305675506592, -0.1670447289943695, 2.122838258743286, 2.6265480518341064, -0.3254683017730713]","[4, 3, 5, 2, 1, 6]",0.026151675003597365,5
1.3471742,1.0607224,-3.0966346,-0.1211412,0.021045621,-0.6961175,1,2,6,3,4,5,2025-01-01-05-若 松,2.6,"[1.3471741676330566, 1.0607223510742188, -3.09663462638855, -0.12114120274782181, 0.02104562148451805, -0.6961175203323364]","[1, 2, 6, 3, 4, 5]",0.04899209366223439,2
-0.7886433,0.6733007,0.5316473,-0.93620455,-0.96996784,0.898693,6,2,3,5,4,1,2025-01-01-06-若 松,78.2,"[-0.7886433005332947, 0.6733006834983826, 0.5316473245620728, -0.9362045526504517, -0.9699678421020508, 0.8986930251121521]","[6, 2, 3, 5, 4, 1]",0.011172150191890369,16
1.9265958,1.4769291,1.2326808,-0.37829,0.5745169,-0.36885247,1,3,2,4,6,5,2025-01-01-07-若 松,4.8,"[1.9265958070755005, 1.4769290685653687, 1.2326807975769043, -0.37828999757766724, 0.5745168924331665, -0.3688524663448334]","[1, 3, 2, 4, 6, 5]",0.004265982939927933,66
2.008745,0.9388299,1.5823585,-0.23023298,0.13479134,0.18320344,1,3,2,4,5,6,2025-01-01-08-若 松,3.6,"[2.008744955062866, 0.9388298988342285, 1.582358479499817, -0.23023298382759094, 0.13479134440422058, 0.18320344388484955]","[1, 3, 2, 4, 5, 6]",0.010560357534269066,14
1.8341898,0.2374587,1.0043575,-0.42955387,-0.82874954,1.4191662,1,5,2,4,6,3,2025-01-01-09-若 松,7.2,"[1.834189772605896, 0.2374587059020996, 1.0043574571609497, -0.4295538663864136, -0.8287495374679565, 1.4191662073135376]","[1, 5, 2, 4, 6, 3]",0.015680161405037637,12
1.7127197,1.1182454,-0.02561572,-0.66859615,-0.54039955,0.99617416,1,2,3,4,5,6,2025-01-01-10-若 松,11.0,"[1.7127196788787842, 1.1182453632354736, -0.025615720078349113, -0.6685961484909058, -0.5403995513916016, 0.996174156665802]","[1, 2, 3, 4, 5, 6]",0.0007871910481024826,216
2.6376638,0.060200177,0.85747373,-0.616505,-0.3821218,1.4310037,1,6,3,2,4,5,2025-01-01-11-若 松,30.6,"[2.6376638412475586, 0.060200177133083344, 0.8574737310409546, -0.6165050268173218, -0.3821218013763428, 1.4310036897659302]","[1, 6, 3, 2, 4, 5]",0.0009797481950262182,166
2.762523,0.82750237,-0.4396756,0.6828232,0.0084299445,0.58080274,1,5,4,3,2,6,2025-01-01-12-若 松,27.8,"[2.7625229358673096, 0.8275023698806763, -0.43967559933662415, 0.6828231811523438, 0.008429944515228271, 0.5808027386665344]","[1, 5, 4, 3, 2, 6]",0.001993163677132941,135
2.223748,1.0691255,0.07639056,-0.33710572,0.5305091,-0.2595061,1,3,4,6,2,5,2025-01-02-01-若 松,69.1,"[2.223747968673706, 1.0691255331039429, 0.07639055699110031, -0.33710572123527527, 0.5305091142654419, -0.25950610637664795]","[1, 3, 4, 6, 2, 5]",0.015496134218558884,5
0.92556274,0.30130476,-0.80814296,-1.0689818,2.424224,0.25047982,1,3,4,6,2,5,2025-01-02-02-若 松,13.8,"[0.9255627393722534, 0.30130475759506226, -0.8081429600715637, -1.0689817667007446, 2.4242238998413086, 0.2504798173904419]","[1, 3, 4, 6, 2, 5]",0.0075145336044293975,35
0.91861844,0.67640686,-0.54915,-1.1452316,-0.31587464,-0.26140377,3,4,6,5,1,2,2025-01-02-03-若 松,89.0,"[0.9186184406280518, 0.6764068603515625, -0.5491499900817871, -1.1452316045761108, -0.3158746361732483, -0.26140376925468445]","[3, 4, 6, 5, 1, 2]",0.0015175318988333816,194
1.150643,0.42247307,0.5409247,-1.4152135,-0.16961709,2.329397,1,4,3,6,5,2,2025-01-02-04-若 松,11.3,"[1.150642991065979, 0.42247307300567627, 0.5409247279167175, -1.4152134656906128, -0.16961708664894104, 2.329396963119507]","[1, 4, 3, 6, 5, 2]",0.022513256459185407,7
2.0952094,1.2512271,-0.2497025,0.83215594,-0.2449781,-0.5997796,1,3,2,4,5,6,2025-01-02-05-若 松,20.7,"[2.0952093601226807, 1.2512271404266357, -0.24970249831676483, 0.8321559429168701, -0.24497810006141663, -0.5997796058654785]","[1, 3, 2, 4, 5, 6]",0.009121766400022189,28
2.3314726,0.2600122,1.0121487,0.4745974,-0.1315622,-0.2555591,1,3,5,2,4,6,2025-01-02-06-若 松,20.9,"[2.331472635269165, 0.2600122094154358, 1.0121487379074097, 0.47459739446640015, -0.13156220316886902, -0.2555590867996216]","[1, 3, 5, 2, 4, 6]",0.004548932086472671,63
2.2924318,0.69344467,-0.15272333,0.5503556,0.9854729,0.15936482,1,6,4,2,3,5,2025-01-02-07-若 松,4.7,"[2.2924318313598633, 0.6934446692466736, -0.15272332727909088, 0.5503556132316589, 0.9854729175567627, 0.15936481952667236]","[1, 6, 4, 2, 3, 5]",0.0034803458983141025,84
2.1436267,0.18210202,-0.3622124,-0.008298554,-0.32378247,-0.50193727,1,6,5,2,3,4,2025-01-02-08-若 松,21.7,"[2.1436266899108887, 0.1821020245552063, -0.3622123897075653, -0.008298554457724094, -0.32378247380256653, -0.5019372701644897]","[1, 6, 5, 2, 3, 4]",0.003138122634874178,111
1.4459898,2.6000729,0.25746235,0.08606506,0.43191525,-0.32148588,1,2,3,5,6,4,2025-01-02-09-若 松,8.6,"[1.4459898471832275, 2.6000728607177734, 0.25746235251426697, 0.08606506139039993, 0.4319152534008026, -0.32148587703704834]","[1, 2, 3, 5, 6, 4]",0.003517767003585092,85
1.879471,-0.33782423,-0.30355167,0.6236146,0.9315343,-0.6570899,1,6,5,3,2,4,2025-01-02-10-若 松,11.0,"[1.879470944404602, -0.3378242254257202, -0.30355167388916016, 0.6236146092414856, 0.9315342903137207, -0.65708988904953]","[1, 6, 5, 3, 2, 4]",0.013138574341584426,10
2.434214,0.22474667,0.34752554,0.42565998,-0.12941541,0.3301399,1,6,4,2,3,5,2025-01-02-11-若 松,38.9,"[2.4342141151428223, 0.2247466742992401, 0.34752553701400757, 0.42565998435020447, -0.12941540777683258, 0.3301399052143097]","[1, 6, 4, 2, 3, 5]",0.0049330451462834745,52
2.4302826,1.5004416,0.82715696,-0.1424212,1.308861,0.33179066,1,4,3,6,2,5,2025-01-02-12-若 松,135.9,"[2.4302825927734375, 1.500441551208496, 0.8271569609642029, -0.1424212008714676, 1.3088610172271729, 0.33179065585136414]","[1, 4, 3, 6, 2, 5]",0.01422481710707721,8
0.6139842,2.5170567,-0.52403355,0.8956099,0.26933336,-0.122716196,2,1,5,6,3,4,2025-01-03-01-若 松,34.4,"[0.613984227180481, 2.517056703567505, -0.5240335464477539, 0.8956099152565002, 0.2693333625793457, -0.12271619588136673]","[2, 1, 5, 6, 3, 4]",0.0018216312507597823,143
1.3847073,0.3801152,1.1396258,0.52169883,0.89890665,-0.2735733,5,6,1,2,4,3,2025-01-03-02-若 松,15.8,"[1.3847073316574097, 0.38011521100997925, 1.1396257877349854, 0.5216988325119019, 0.8989066481590271, -0.2735733091831207]","[5, 6, 1, 2, 4, 3]",0.0007514508540886405,346
0.65725267,1.443283,1.0863423,0.022518383,1.4493139,-0.10822654,2,5,3,4,1,6,2025-01-03-03-若 松,46.0,"[0.6572526693344116, 1.443282961845398, 1.0863423347473145, 0.022518383339047432, 1.4493138790130615, -0.10822653770446777]","[2, 5, 3, 4, 1, 6]",0.002166005857662265,130
1.2885569,-0.71099144,1.6423458,0.39515156,0.5405985,0.3894977,3,6,1,2,5,4,2025-01-03-04-若 松,16.8,"[1.2885569334030151, -0.7109914422035217, 1.6423457860946655, 0.3951515555381775, 0.5405985116958618, 0.38949769735336304]","[3, 6, 1, 2, 5, 4]",0.00965296899546396,17
1.4752905,2.5096672,0.6814915,0.7690746,0.18177073,-0.25858223,2,3,1,5,4,6,2025-01-03-05-若 松,72.2,"[1.4752905368804932, 2.509667158126831, 0.681491494178772, 0.7690746188163757, 0.18177072703838348, -0.2585822343826294]","[2, 3, 1, 5, 4, 6]",0.0029210673192544513,104
0.21312955,2.7666068,0.14596768,-0.43810862,0.7140508,-0.19969842,2,1,6,4,3,5,2025-01-03-06-若 松,9.6,"[0.21312955021858215, 2.7666068077087402, 0.14596767723560333, -0.4381086230278015, 0.714050829410553, -0.19969841837882996]","[2, 1, 6, 4, 3, 5]",0.0068329933258302064,39
1.3249362,0.66820306,1.1939256,0.96198833,1.3998802,-0.45264366,2,5,1,3,4,6,2025-01-03-07-若 松,145.3,"[1.3249361515045166, 0.6682030558586121, 1.1939256191253662, 0.9619883298873901, 1.3998801708221436, -0.45264366269111633]","[2, 5, 1, 3, 4, 6]",0.0076031791516894855,22
2.036062,0.44074884,0.21334201,-0.6858221,0.5780919,-0.053821877,2,1,5,4,6,3,2025-01-03-08-若 松,100.0,"[2.036062002182007, 0.44074884057044983, 0.21334201097488403, -0.6858221292495728, 0.5780919194221497, -0.053821876645088196]","[2, 1, 5, 4, 6, 3]",0.0008897914285146742,257
2.0861065,0.27626917,0.03869039,1.7688571,0.08238809,0.27480435,1,6,2,3,4,5,2025-01-03-09-若 松,27.2,"[2.086106538772583, 0.27626916766166687, 0.038690388202667236, 1.7688571214675903, 0.08238808810710907, 0.27480435371398926]","[1, 6, 2, 3, 4, 5]",0.0037641580887138666,82
2.9927769,-0.13144708,0.8997346,1.9479923,1.0194646,0.9973254,1,4,3,6,5,2,2025-01-03-10-若 松,126.9,"[2.992776870727539, -0.13144707679748535, 0.899734616279602, 1.9479923248291016, 1.0194646120071411, 0.9973254203796387]","[1, 4, 3, 6, 5, 2]",0.00041653379769827356,284
2.0632277,1.5657682,1.1759697,0.94808376,0.52746487,-0.5892343,2,4,1,3,5,6,2025-01-03-11-若 松,113.7,"[2.063227653503418, 1.5657682418823242, 1.1759697198867798, 0.948083758354187, 0.5274648666381836, -0.5892342925071716]","[2, 4, 1, 3, 5, 6]",0.009680252779625803,22
