race_key,first_lane,second_lane,third_lane,trifecta_odds,pred1,pred2,pred3,conf,p_model_raw,hit,returns,act1,act2,act3
2025-01-01-01-若 松,1,5,4,25.2,1,3,4,1.5410056,0.0032085080165416002,True,25.2,1,5,4
2025-01-01-02-若 松,1,3,6,84.8,3,2,1,1.4616206,0.0010670815827324986,True,84.8,1,3,6
2025-01-01-03-若 松,6,4,2,1517.3,6,1,5,0.7091285,0.002576082246378064,True,1517.3,6,4,2
2025-01-01-04-若 松,5,4,2,15.4,4,5,2,0.95459425,0.009410033002495766,True,15.4,5,4,2
2025-01-01-05-若 松,1,2,4,2.6,1,2,4,1.3147103,0.009965142235159874,True,2.6,1,2,4
2025-01-01-06-若 松,6,2,3,78.2,2,6,1,1.0857875,0.010036774910986423,True,78.2,6,2,3
2025-01-01-07-若 松,1,3,2,4.8,1,3,2,0.5366272,0.020176805555820465,True,4.8,1,3,2
2025-01-01-08-若 松,1,3,2,3.6,1,3,2,1.073972,0.014386232942342758,True,3.6,1,3,2
2025-01-01-09-若 松,1,3,6,7.2,1,3,6,1.0268229,0.014334961771965027,True,7.2,1,3,6
2025-01-01-10-若 松,1,2,3,11.0,1,2,6,1.1953855,0.00879809632897377,True,11.0,1,2,3
2025-01-01-11-若 松,1,4,3,30.6,1,3,6,1.400456,0.0033965352922677994,True,30.6,1,4,3
2025-01-01-12-若 松,1,5,4,27.8,1,4,2,1.4886029,0.0023047360591590405,True,27.8,1,5,4
2025-01-02-01-若 松,1,5,2,69.1,1,2,3,0.98506176,0.007082507945597172,True,69.1,1,5,2
2025-01-02-02-若 松,1,5,2,13.8,5,1,2,0.52356696,0.010686776600778103,True,13.8,1,5,2
2025-01-02-03-若 松,5,6,1,89.0,1,2,3,0.5922861,0.0014243413461372256,True,89.0,5,6,1
2025-01-02-04-若 松,1,6,3,11.3,1,6,3,0.23562264,0.020657159388065338,True,11.3,1,6,3
2025-01-02-05-若 松,1,3,2,20.7,1,4,2,0.9115909,0.004398178309202194,True,20.7,1,3,2
2025-01-02-06-若 松,1,4,2,20.9,1,3,4,0.80494016,0.005410517565906048,True,20.9,1,4,2
2025-01-02-07-若 松,1,4,5,4.7,1,4,2,1.9014127,0.005338207818567753,True,4.7,1,4,5
2025-01-02-08-若 松,1,4,5,21.7,1,4,2,1.6881443,0.002215518383309245,True,21.7,1,4,5
2025-01-02-09-若 松,1,2,3,8.6,2,1,3,0.29135185,0.014187146909534931,True,8.6,1,2,3
2025-01-02-10-若 松,1,5,4,11.0,1,4,5,0.9931933,0.014383512549102306,True,11.0,1,5,4
2025-01-02-11-若 松,1,4,5,38.9,1,4,3,1.830586,0.0009422954171895981,True,38.9,1,4,5
2025-01-02-12-若 松,1,5,3,135.9,1,2,3,1.189361,0.005002431105822325,True,135.9,1,5,3
2025-01-03-01-若 松,2,1,5,34.4,2,1,4,1.3612895,0.004041076172143221,True,34.4,2,1,5
2025-01-03-02-若 松,3,4,6,15.8,1,3,4,1.1423742,0.00020445846894290298,True,15.8,3,4,6
2025-01-03-03-若 松,5,1,3,46.0,1,2,5,0.43349344,0.01018535252660513,True,46.0,5,1,3
2025-01-03-04-若 松,3,4,1,16.8,3,1,4,0.28118145,0.017768364399671555,True,16.8,3,4,1
2025-01-03-05-若 松,3,1,2,72.2,2,1,3,0.4514237,0.01541273482143879,True,72.2,3,1,2
2025-01-03-06-若 松,2,1,5,9.6,2,1,3,2.1388955,0.00387186068110168,True,9.6,2,1,5
2025-01-03-07-若 松,3,1,4,145.3,1,3,4,0.38553798,0.01427870336920023,True,145.3,3,1,4
2025-01-03-08-若 松,2,1,6,100.0,1,3,2,1.7568603,0.002039623213931918,True,100.0,2,1,6
2025-01-03-09-若 松,1,3,4,27.2,1,4,3,0.1126523,0.01103623304516077,True,27.2,1,3,4
2025-01-03-10-若 松,1,6,3,126.9,1,4,3,0.21128142,0.0016164100961759686,True,126.9,1,6,3
2025-01-03-11-若 松,3,1,4,113.7,1,3,2,0.7052009,0.011533845216035843,True,113.7,3,1,4
2025-01-03-12-若 松,2,6,1,112.9,2,1,3,1.0491021,0.00618748227134347,True,112.9,2,6,1
2025-01-04-01-若 松,3,1,4,36.6,1,2,4,1.1645528,0.00647688889876008,True,36.6,3,1,4
2025-01-04-02-若 松,1,2,6,43.0,1,3,4,1.8935573,0.002381161553785205,True,43.0,1,2,6
2025-01-04-03-若 松,1,4,5,30.0,1,2,5,1.9037217,0.00422212528064847,True,30.0,1,4,5
2025-01-04-04-若 松,2,1,3,117.0,4,2,1,1.3786502,0.0007319838041439652,True,117.0,2,1,3
2025-01-04-05-若 松,1,5,2,50.2,1,4,2,1.2895589,0.0023924715351313353,True,50.2,1,5,2
2025-01-04-06-若 松,1,4,3,12.0,1,4,2,1.3204978,0.005258246790617704,True,12.0,1,4,3
2025-01-04-07-若 松,3,1,4,179.4,1,3,2,1.6539805,0.0026108799502253532,True,179.4,3,1,4
2025-01-04-08-若 松,1,3,4,9.9,1,6,3,1.3248227,0.0021751984022557735,True,9.9,1,3,4
2025-01-04-09-若 松,1,4,5,76.1,1,3,2,0.77271104,0.0003647727717179805,True,76.1,1,4,5
2025-01-04-10-若 松,1,2,3,4.1,1,2,3,1.1836389,0.01173468492925167,True,4.1,1,2,3
2025-01-04-11-若 松,3,4,5,140.4,1,3,5,1.223386,0.0010935593163594604,True,140.4,3,4,5
2025-01-04-12-若 松,3,1,6,48.1,1,3,2,0.38430297,0.002924681641161442,True,48.1,3,1,6
2025-01-05-01-若 松,2,5,1,361.7,1,2,3,0.6815396,0.002877200720831752,True,361.7,2,5,1
2025-01-05-02-若 松,1,2,3,31.1,3,1,5,0.7790413,0.007511557079851627,True,31.1,1,2,3
2025-01-05-03-若 松,1,2,5,96.9,1,3,2,0.9254899,0.0003617960028350353,True,96.9,1,2,5
2025-01-05-04-若 松,1,6,4,19.7,4,6,1,0.39690816,0.019206369295716286,True,19.7,1,6,4
2025-01-05-05-若 松,1,2,5,13.9,2,1,3,0.25311816,0.003701502922922373,True,13.9,1,2,5
2025-01-05-06-若 松,1,3,5,101.7,1,4,3,1.0547743,0.0018932957900688052,True,101.7,1,3,5
2025-01-05-07-若 松,1,2,4,30.4,1,3,4,0.6965084,0.004050781950354576,True,30.4,1,2,4
2025-01-05-08-若 松,1,4,5,10.8,1,3,4,1.2143872,0.002613017801195383,True,10.8,1,4,5
2025-01-05-09-若 松,1,2,3,22.8,1,4,5,0.29713666,0.003786117536947131,True,22.8,1,2,3
2025-01-05-10-若 松,2,1,4,119.9,1,2,3,1.3543268,0.005732692312449217,True,119.9,2,1,4
2025-01-05-11-若 松,2,6,1,395.4,1,2,4,0.9106457,0.005420754197984934,True,395.4,2,6,1
2025-01-05-12-若 松,1,3,5,5.2,1,3,5,1.4930856,0.007368555758148432,True,5.2,1,3,5
2025-01-06-01-若 松,1,3,2,24.1,1,3,2,1.1691967,0.01125354878604412,True,24.1,1,3,2
2025-01-06-02-若 松,2,1,5,24.2,4,1,2,0.586406,0.0010477550094947219,True,24.2,2,1,5
2025-01-06-03-若 松,1,4,3,131.1,1,2,5,0.7640763,0.0027079100254923105,True,131.1,1,4,3
2025-01-06-04-若 松,1,4,6,13.9,1,4,3,0.8712086,0.005195351783186197,True,13.9,1,4,6
2025-01-06-05-若 松,4,5,3,418.9,2,1,3,0.08698809,0.00037266191793605685,True,418.9,4,5,3
2025-01-06-06-若 松,1,3,4,3.7,1,3,4,0.6051744,0.013658449053764343,True,3.7,1,3,4
2025-01-06-07-若 松,1,2,6,6.8,1,2,4,1.1168276,0.006735065020620823,True,6.8,1,2,6
2025-01-06-08-若 松,1,4,2,13.8,1,2,3,0.77475375,0.009614196605980396,True,13.8,1,4,2
2025-01-06-09-若 松,1,2,6,56.8,1,2,3,1.2732337,0.0034905853681266308,True,56.8,1,2,6
2025-01-06-10-若 松,3,6,4,364.9,4,2,3,1.0145102,0.006203409284353256,True,364.9,3,6,4
2025-01-06-11-若 松,4,1,5,43.7,4,2,1,0.14396736,0.006608202122151852,True,43.7,4,1,5
