name,regno,レース,出走数,1着数,勝率,1着率,2連対率,3連対率,平均ST,平均ST順
細川 裕子,4123,女子戦,3930,1021,6.54,25.9,49.1,68.5,0.19,3.6
細川 裕子,4123,混合戦,1280,167,5.02,13.0,28.5,47.0,0.2,3.9
