name,regno,コース,出走数,1着数,1着率,2連対率,3連対率,平均ST,平均ST順
飯島 誠,4031,1 コース,707,251,35.5,60.4,71.5,0.17,3.0
飯島 誠,4031,2 コース,773,117,15.1,39.8,58.9,0.19,3.6
飯島 誠,4031,3 コース,783,111,14.1,33.2,53.6,0.19,3.3
飯島 誠,4031,4 コース,789,101,12.8,28.9,50.0,0.19,3.3
飯島 誠,4031,5 コース,1019,65,6.3,19.7,38.5,0.2,3.5
飯島 誠,4031,6 コース,1197,48,4.0,13.7,31.8,0.2,3.7
