name,regno,レース,出走数,1着数,勝率,1着率,2連対率,3連対率,平均ST,平均ST順
梶野 真未,4130,女子戦,995,53,3.31,5.3,12.1,24.2,0.25,4.0
梶野 真未,4130,混合戦,343,5,2.25,1.4,4.0,11.6,0.26,4.1
