name,regno,艇番,出走数,1着数,1着率,2連対率,3連対率,優出,優勝
井口 真弓,4178,1 号艇,148,36,24.3,39.1,50.6,0,0
井口 真弓,4178,2 号艇,163,27,16.5,28.2,46.0,0,0
井口 真弓,4178,3 号艇,159,17,10.6,26.4,35.2,1,0
井口 真弓,4178,4 号艇,161,14,8.7,19.2,39.7,2,0
井口 真弓,4178,5 号艇,162,7,4.3,15.4,29.0,0,0
井口 真弓,4178,6 号艇,160,3,1.8,6.2,16.8,1,0
