name,regno,レース,出走数,1着数,勝率,1着率,2連対率,3連対率,平均ST,平均ST順
森田 梨湖,5164,女子戦,453,6,2.02,1.3,3.3,6.8,0.23,4.5
森田 梨湖,5164,混合戦,205,0,1.26,0.0,0.4,0.9,0.24,4.8
