name,regno,レース,出走数,1着数,勝率,1着率,2連対率,3連対率,平均ST,平均ST順
犬童 千秋,4349,女子戦,2711,332,5.14,12.2,31.7,49.5,0.19,3.3
犬童 千秋,4349,混合戦,1135,73,3.84,6.4,17.8,32.1,0.18,3.5
