name,regno,グレード,出場節数,出走数,1着数,勝率,1着率,2連対率,3連対率,優出,優勝,平均ST,平均ST順
東本 勝利,4066,SG,2,16,5,8.06,31.2,43.7,68.7,0,0,0.15,3.6
東本 勝利,4066,G1,83,717,83,5.67,11.5,28.3,44.0,5,0,0.15,3.4
東本 勝利,4066,G2,10,86,11,5.27,12.7,24.4,41.8,0,0,0.16,3.5
東本 勝利,4066,G3,47,454,102,5.97,22.4,42.5,62.7,13,2,0.17,3.0
東本 勝利,4066,一般,546,4928,1225,6.23,24.8,46.7,65.6,163,33,0.17,3.1
東本 勝利,4066,総合,688,6201,1426,6.14,23.0,43.9,62.6,181,35,0.17,3.1
