name,regno,レース,出走数,1着数,勝率,1着率,2連対率,3連対率,平均ST,平均ST順
小松原 恵美,3481,女子戦,1600,271,5.5,16.9,35.7,54.6,0.21,3.2
小松原 恵美,3481,混合戦,1141,138,4.63,12.0,26.9,44.0,0.21,3.4
