name,regno,場,出場節数,出走数,1着数,勝率,1着率,2連対率,3連対率,優出,優勝,平均ST
中村 尊,4090,桐生,42,354,70,5.81,19.7,40.1,57.9,9,1,0.14
中村 尊,4090,戸田,87,733,163,5.68,22.2,40.7,54.9,17,1,0.15
中村 尊,4090,江戸川,26,194,37,5.66,19.0,38.1,56.1,4,1,0.19
中村 尊,4090,平和島,38,354,64,5.72,18.0,40.1,58.4,6,1,0.15
中村 尊,4090,多摩川,39,344,73,5.7,21.2,38.6,57.5,7,1,0.15
中村 尊,4090,浜名湖,32,268,55,5.73,20.5,41.7,57.4,7,0,0.15
中村 尊,4090,蒲郡,31,298,65,5.8,21.8,39.6,57.3,6,1,0.14
中村 尊,4090,常滑,30,241,52,6.18,21.5,44.4,63.4,9,3,0.14
中村 尊,4090,津,30,266,52,5.73,19.5,37.2,56.3,9,0,0.16
中村 尊,4090,三国,28,251,69,5.8,27.4,40.6,54.5,4,2,0.14
中村 尊,4090,びわこ,15,128,21,5.34,16.4,38.2,54.6,1,0,0.16
中村 尊,4090,住之江,24,207,44,5.82,21.2,41.5,59.9,4,0,0.15
中村 尊,4090,尼崎,16,151,31,5.55,20.5,37.0,53.6,2,0,0.15
中村 尊,4090,鳴門,16,134,28,5.5,20.9,38.0,53.7,2,0,0.16
中村 尊,4090,丸亀,26,242,57,6.25,23.5,44.2,64.4,8,1,0.14
中村 尊,4090,児島,19,179,35,5.18,19.5,34.6,50.8,1,0,0.15
中村 尊,4090,宮島,14,137,32,5.99,23.3,43.8,59.1,4,0,0.13
中村 尊,4090,徳山,13,135,29,5.66,21.4,42.9,56.3,1,1,0.15
中村 尊,4090,下関,17,158,35,5.49,22.1,37.3,53.1,2,0,0.15
中村 尊,4090,若松,19,180,39,5.77,21.6,40.5,56.6,4,1,0.16
中村 尊,4090,芦屋,16,155,41,6.19,26.4,48.3,61.2,5,1,0.14
中村 尊,4090,福岡,12,121,30,6.2,24.7,44.6,63.6,2,0,0.15
中村 尊,4090,唐津,21,194,39,5.77,20.1,40.2,59.7,2,0,0.14
中村 尊,4090,大村,17,148,36,6.11,24.3,45.2,62.1,2,0,0.14
