name,regno,グレード,出走数,1着,2着,3着,4着,5着,6着,S0,S1,S2,F,L0,L1,K0,K1
池上 裕次,3245,SG,409,58,68,83,75,73,49,0,1,0,1,0,0,0,1
池上 裕次,3245,G1,1170,182,240,212,192,193,139,8,3,3,4,0,0,0,2
池上 裕次,3245,G2,28,4,0,6,5,6,7,0,0,0,0,0,0,0,0
池上 裕次,3245,G3,226,55,45,32,31,31,27,1,1,1,3,0,0,0,0
池上 裕次,3245,一般,3567,978,772,588,496,410,285,10,13,4,19,0,1,3,1
池上 裕次,3245,総合,5400,1277,1125,921,799,713,507,19,18,8,27,0,1,3,4
