name,regno,レース,出走数,1着数,勝率,1着率,2連対率,3連対率,平均ST,平均ST順
前原 哉,4853,女子戦,930,83,4.33,8.9,22.5,37.6,0.19,3.5
前原 哉,4853,混合戦,616,38,3.39,6.1,12.9,25.9,0.19,3.8
