name,regno,レース,出走数,1着数,勝率,1着率,2連対率,3連対率,平均ST,平均ST順
羽田 妃希,5254,女子戦,165,4,3.04,2.4,10.9,21.2,0.19,3.5
羽田 妃希,5254,混合戦,159,2,2.31,1.2,5.0,8.1,0.19,4.0
