name,regno,レース,出走数,1着数,勝率,1着率,2連対率,3連対率,平均ST,平均ST順
井上 遥妃,5281,女子戦,358,31,4.32,8.6,20.1,40.2,0.16,3.0
井上 遥妃,5281,混合戦,180,10,3.24,5.5,12.2,25.0,0.16,3.3
