name,regno,レース,出走数,1着数,勝率,1着率,2連対率,3連対率,平均ST,平均ST順
小城 千奈,4801,女子戦,272,16,3.49,5.8,14.7,26.4,0.2,3.8
小城 千奈,4801,混合戦,184,2,2.15,1.0,4.3,8.1,0.22,4.3
