name,regno,艇番,出走数,1 コース,2 コース,3 コース,4 コース,5 コース,6 コース,その他
岩本 豊志,3520,1 号艇,446,355,30,19,21,15,6,0
岩本 豊志,3520,2 号艇,468,39,298,43,49,25,14,0
岩本 豊志,3520,3 号艇,441,19,57,238,70,37,18,2
岩本 豊志,3520,4 号艇,420,14,39,76,214,56,21,0
岩本 豊志,3520,5 号艇,472,19,53,102,104,152,42,0
岩本 豊志,3520,6 号艇,469,34,73,90,83,75,114,0
