name,regno,場,出場節数,出走数,1着数,勝率,1着率,2連対率,3連対率,優出,優勝,平均ST
高田 綾,4694,桐生,5,47,6,4.68,12.7,29.7,42.5,0,0,0.17
高田 綾,4694,戸田,11,92,14,4.9,15.2,27.1,42.3,2,0,0.19
高田 綾,4694,江戸川,13,107,9,4.32,8.4,21.5,37.3,0,0,0.22
高田 綾,4694,平和島,6,56,4,4.38,7.1,19.6,46.4,0,0,0.17
高田 綾,4694,多摩川,3,27,2,4.07,7.4,18.5,40.7,0,0,0.22
高田 綾,4694,浜名湖,6,48,3,3.4,6.2,14.5,29.1,0,0,0.18
高田 綾,4694,蒲郡,5,45,5,4.56,11.1,22.2,42.2,0,0,0.19
高田 綾,4694,常滑,5,36,2,3.03,5.5,13.8,16.6,0,0,0.18
高田 綾,4694,津,8,73,7,3.81,9.5,16.4,26.0,0,0,0.18
高田 綾,4694,三国,8,70,8,4.53,11.4,21.4,44.2,0,0,0.18
高田 綾,4694,びわこ,3,26,1,3.58,3.8,11.5,30.7,0,0,0.21
高田 綾,4694,住之江,10,85,6,3.88,7.0,17.6,31.7,0,0,0.2
高田 綾,4694,尼崎,7,60,3,3.83,5.0,16.6,31.6,0,0,0.2
高田 綾,4694,鳴門,10,84,8,4.29,9.5,20.2,40.4,0,0,0.17
高田 綾,4694,丸亀,9,77,9,4.25,11.6,20.7,37.6,0,0,0.19
高田 綾,4694,児島,10,83,5,3.72,6.0,14.4,31.3,0,0,0.2
高田 綾,4694,宮島,12,100,4,3.82,4.0,11.0,31.0,0,0,0.2
高田 綾,4694,徳山,8,66,3,3.17,4.5,12.1,21.2,0,0,0.17
高田 綾,4694,下関,12,108,5,4.0,4.6,17.5,36.1,0,0,0.19
高田 綾,4694,若松,26,231,18,4.29,7.7,22.0,41.9,0,0,0.18
高田 綾,4694,芦屋,22,197,14,4.22,7.1,20.3,40.1,0,0,0.17
高田 綾,4694,福岡,23,202,16,3.8,7.9,18.3,29.2,0,0,0.19
高田 綾,4694,唐津,11,92,3,3.7,3.2,19.5,32.6,0,0,0.21
高田 綾,4694,大村,16,133,12,4.44,9.0,23.3,40.6,0,0,0.18
