name,regno,レース,出走数,1着数,勝率,1着率,2連対率,3連対率,平均ST,平均ST順
三浦 星子,3116,女子戦,812,85,4.52,10.4,25.6,40.6,0.25,3.7
三浦 星子,3116,混合戦,1105,80,3.62,7.2,18.3,29.4,0.25,3.8
