name,regno,レース,出走数,1着数,勝率,1着率,2連対率,3連対率,平均ST,平均ST順
島田 なぎさ,4726,女子戦,1227,183,5.11,14.9,30.6,51.1,0.16,2.9
島田 なぎさ,4726,混合戦,500,39,3.77,7.8,17.0,31.6,0.16,3.0
