name,regno,レース,出走数,1着数,勝率,1着率,2連対率,3連対率,平均ST,平均ST順
秋葉 弘美,3183,女子戦,837,113,5.58,13.5,32.8,56.1,0.22,3.1
秋葉 弘美,3183,混合戦,1075,79,4.49,7.3,21.3,41.1,0.23,3.6
