name,regno,場,出場節数,出走数,1着数,勝率,1着率,2連対率,3連対率,優出,優勝,平均ST
平川 香織,5045,桐生,8,62,4,4.39,6.4,22.5,40.3,0,0,0.18
平川 香織,5045,戸田,23,180,26,4.81,14.4,27.7,45.5,2,0,0.18
平川 香織,5045,江戸川,5,43,3,3.88,6.9,13.9,39.5,0,0,0.27
平川 香織,5045,平和島,8,58,10,4.57,17.2,25.8,43.1,0,0,0.17
平川 香織,5045,多摩川,8,59,7,4.37,11.8,27.1,37.2,1,0,0.21
平川 香織,5045,浜名湖,7,67,17,5.85,25.3,37.3,59.7,2,0,0.18
平川 香織,5045,蒲郡,11,91,10,4.63,10.9,28.5,42.8,0,0,0.19
平川 香織,5045,常滑,7,59,12,4.56,20.3,32.2,38.9,0,0,0.18
平川 香織,5045,津,6,59,7,5.12,11.8,30.5,52.5,1,0,0.2
平川 香織,5045,三国,2,18,0,3.89,0.0,16.6,27.7,0,0,0.21
平川 香織,5045,びわこ,5,44,5,4.75,11.3,25.0,38.6,0,0,0.21
平川 香織,5045,住之江,3,29,7,6.9,24.1,55.1,75.8,2,0,0.18
平川 香織,5045,尼崎,5,41,2,3.12,4.8,12.2,17.0,0,0,0.21
平川 香織,5045,鳴門,7,53,4,4.45,7.5,26.4,39.6,0,0,0.19
平川 香織,5045,丸亀,7,66,8,5.06,12.1,33.3,48.4,1,0,0.19
平川 香織,5045,児島,1,9,1,3.44,11.1,22.2,22.2,0,0,0.21
平川 香織,5045,宮島,5,46,7,4.91,15.2,30.4,45.6,1,0,0.16
平川 香織,5045,徳山,3,25,0,2.68,0.0,4.0,20.0,0,0,0.22
平川 香織,5045,下関,6,51,5,4.25,9.8,23.5,39.2,0,0,0.19
平川 香織,5045,若松,4,30,5,4.27,16.6,23.3,33.3,0,0,0.2
平川 香織,5045,芦屋,1,10,3,5.1,30.0,30.0,50.0,0,0,0.18
平川 香織,5045,福岡,6,53,4,3.62,7.5,18.8,26.4,0,0,0.23
平川 香織,5045,唐津,4,30,5,4.5,16.6,26.6,36.6,0,0,0.2
平川 香織,5045,大村,4,34,0,2.71,0.0,2.9,17.6,0,0,0.2
