name,regno,場,出場節数,出走数,1着数,勝率,1着率,2連対率,3連対率,優出,優勝,平均ST
荒田 泰明,4091,桐生,35,262,29,4.55,11.0,27.4,42.7,2,1,0.21
荒田 泰明,4091,戸田,79,667,113,4.8,16.9,29.0,44.0,4,1,0.18
荒田 泰明,4091,江戸川,23,194,24,4.22,12.3,24.2,37.6,0,0,0.24
荒田 泰明,4091,平和島,27,204,35,4.44,17.1,25.4,37.7,1,0,0.2
荒田 泰明,4091,多摩川,28,235,34,4.7,14.4,29.3,43.8,0,0,0.18
荒田 泰明,4091,浜名湖,22,163,18,4.14,11.0,22.0,35.5,1,0,0.21
荒田 泰明,4091,蒲郡,22,182,23,4.35,12.6,23.6,37.3,0,0,0.2
荒田 泰明,4091,常滑,32,260,35,4.33,13.4,26.1,34.2,0,0,0.2
荒田 泰明,4091,津,23,188,12,4.2,6.3,21.2,36.7,1,0,0.2
荒田 泰明,4091,三国,17,150,17,4.57,11.3,24.6,42.6,0,0,0.19
荒田 泰明,4091,びわこ,15,121,18,5.03,14.8,32.2,46.2,1,0,0.21
荒田 泰明,4091,住之江,21,175,23,4.67,13.1,29.7,44.5,1,0,0.19
荒田 泰明,4091,尼崎,18,148,17,4.59,11.4,29.0,41.8,0,0,0.18
荒田 泰明,4091,鳴門,10,75,12,5.05,16.0,30.6,52.0,0,0,0.18
荒田 泰明,4091,丸亀,15,126,21,4.78,16.6,30.9,45.2,1,0,0.19
荒田 泰明,4091,児島,17,154,16,4.47,10.3,24.6,38.3,0,0,0.19
荒田 泰明,4091,宮島,9,73,10,4.81,13.7,32.8,41.1,1,0,0.19
荒田 泰明,4091,徳山,13,110,13,4.25,11.8,26.3,40.0,0,0,0.21
荒田 泰明,4091,下関,15,135,14,4.21,10.3,25.1,37.0,0,0,0.19
荒田 泰明,4091,若松,12,107,14,4.9,13.0,25.2,47.6,0,0,0.2
荒田 泰明,4091,芦屋,11,95,8,4.32,8.4,21.0,38.9,0,0,0.2
荒田 泰明,4091,福岡,14,116,13,4.99,11.2,26.7,49.1,1,0,0.2
荒田 泰明,4091,唐津,15,122,13,4.8,10.6,26.2,46.7,1,0,0.2
荒田 泰明,4091,大村,17,139,11,4.52,7.9,23.0,44.6,0,0,0.22
