name,regno,場,出場節数,出走数,1着数,勝率,1着率,2連対率,3連対率,優出,優勝,平均ST
塩崎 桐加,4589,桐生,10,95,13,5.22,13.6,32.6,51.5,1,0,0.17
塩崎 桐加,4589,戸田,6,47,6,4.23,12.7,25.5,34.0,0,0,0.2
塩崎 桐加,4589,江戸川,9,80,18,6.04,22.5,43.7,62.5,3,1,0.18
塩崎 桐加,4589,平和島,10,87,19,6.11,21.8,45.9,63.2,2,1,0.16
塩崎 桐加,4589,多摩川,14,123,23,5.81,18.7,40.6,60.9,1,0,0.15
塩崎 桐加,4589,浜名湖,16,146,22,5.54,15.0,38.3,54.1,4,0,0.17
塩崎 桐加,4589,蒲郡,14,132,16,5.19,12.1,34.0,52.2,1,0,0.17
塩崎 桐加,4589,常滑,11,91,11,4.9,12.0,28.5,46.1,1,0,0.19
塩崎 桐加,4589,津,44,387,71,5.19,18.3,34.1,49.3,7,0,0.19
塩崎 桐加,4589,三国,15,142,29,5.75,20.4,39.4,58.4,6,0,0.17
塩崎 桐加,4589,びわこ,17,159,35,5.28,22.0,36.4,50.3,1,0,0.2
塩崎 桐加,4589,住之江,11,98,18,5.22,18.3,34.6,54.0,2,0,0.17
塩崎 桐加,4589,尼崎,11,98,21,5.24,21.4,36.7,51.0,1,0,0.19
塩崎 桐加,4589,鳴門,10,79,14,4.62,17.7,24.0,37.9,2,0,0.2
塩崎 桐加,4589,丸亀,8,74,19,5.47,25.6,39.1,50.0,3,0,0.18
塩崎 桐加,4589,児島,7,69,16,5.67,23.1,37.6,52.1,1,0,0.17
塩崎 桐加,4589,宮島,8,78,11,5.69,14.1,34.6,57.6,3,1,0.19
塩崎 桐加,4589,徳山,10,84,9,4.83,10.7,28.5,45.2,1,0,0.19
塩崎 桐加,4589,下関,7,56,10,5.3,17.8,33.9,48.2,0,0,0.19
塩崎 桐加,4589,若松,5,48,8,4.98,16.6,33.3,45.8,0,0,0.19
塩崎 桐加,4589,芦屋,7,65,13,5.54,20.0,36.9,52.3,1,0,0.16
塩崎 桐加,4589,福岡,5,44,6,4.52,13.6,29.5,45.4,0,0,0.19
塩崎 桐加,4589,唐津,2,17,1,4.59,5.8,29.4,41.1,0,0,0.24
塩崎 桐加,4589,大村,7,56,9,5.25,16.0,33.9,55.3,1,0,0.19
