name,regno,レース,出走数,1着数,勝率,1着率,2連対率,3連対率,平均ST,平均ST順
大久保 佑香,5194,女子戦,450,35,3.93,7.7,19.1,33.1,0.17,3.1
大久保 佑香,5194,混合戦,264,11,2.64,4.1,7.5,17.0,0.17,3.2
