name,regno,場,出場節数,出走数,1着数,勝率,1着率,2連対率,3連対率,優出,優勝,平均ST
山崎 稔,3016,桐生,11,67,4,3.52,5.9,14.9,20.9,0,0,0.27
山崎 稔,3016,戸田,9,50,6,3.66,12.0,12.0,28.0,0,0,0.25
山崎 稔,3016,江戸川,20,147,6,3.72,4.0,15.6,31.9,0,0,0.28
山崎 稔,3016,平和島,11,83,7,4.96,8.4,27.7,44.5,1,0,0.27
山崎 稔,3016,多摩川,16,112,5,3.78,4.4,16.0,28.5,0,0,0.27
山崎 稔,3016,浜名湖,6,46,1,3.54,2.1,10.8,26.0,0,0,0.28
山崎 稔,3016,蒲郡,10,70,2,3.56,2.8,11.4,28.5,0,0,0.28
山崎 稔,3016,常滑,8,54,0,3.72,0.0,9.2,29.6,0,0,0.27
山崎 稔,3016,津,7,39,2,3.82,5.1,12.8,28.2,0,0,0.28
山崎 稔,3016,三国,9,56,4,3.79,7.1,17.8,28.5,0,0,0.28
山崎 稔,3016,びわこ,7,40,3,3.28,7.5,15.0,25.0,0,0,0.31
山崎 稔,3016,住之江,3,26,0,4.15,0.0,34.6,42.3,0,0,0.19
山崎 稔,3016,尼崎,5,38,2,3.58,5.2,18.4,28.9,0,0,0.22
山崎 稔,3016,鳴門,3,23,2,3.87,8.7,13.0,21.7,0,0,0.27
山崎 稔,3016,丸亀,5,35,3,4.11,8.5,20.0,37.1,0,0,0.29
山崎 稔,3016,児島,5,40,4,4.9,10.0,27.5,45.0,0,0,0.3
山崎 稔,3016,宮島,4,30,2,3.37,6.6,10.0,26.6,0,0,0.28
山崎 稔,3016,徳山,3,23,1,3.78,4.3,13.0,30.4,0,0,0.25
山崎 稔,3016,下関,6,41,1,3.95,2.4,7.3,34.1,0,0,0.25
山崎 稔,3016,若松,4,25,0,3.52,0.0,24.0,28.0,0,0,0.27
山崎 稔,3016,芦屋,1,8,1,4.0,12.5,12.5,25.0,0,0,0.22
山崎 稔,3016,福岡,6,39,2,3.72,5.1,20.5,25.6,0,0,0.28
山崎 稔,3016,唐津,5,36,3,4.17,8.3,25.0,36.1,0,0,0.29
山崎 稔,3016,大村,2,10,0,2.4,0.0,10.0,10.0,0,0,0.29
