name,regno,場,出場節数,出走数,1着数,勝率,1着率,2連対率,3連対率,優出,優勝,平均ST
重成 達郎,2604,桐生,9,62,6,5.11,9.6,29.0,53.2,0,0,0.22
重成 達郎,2604,戸田,12,90,12,4.92,13.3,26.6,45.5,0,0,0.24
重成 達郎,2604,江戸川,3,21,2,4.62,9.5,23.8,47.6,1,0,0.27
重成 達郎,2604,平和島,7,54,3,4.19,5.5,22.2,38.8,1,0,0.22
重成 達郎,2604,多摩川,10,81,10,4.53,12.3,29.6,44.4,1,0,0.22
重成 達郎,2604,浜名湖,12,91,8,4.37,8.7,19.7,42.8,0,0,0.21
重成 達郎,2604,蒲郡,3,25,2,3.44,8.0,8.0,16.0,0,0,0.28
重成 達郎,2604,常滑,9,86,7,4.8,8.1,27.9,45.3,0,0,0.21
重成 達郎,2604,津,11,89,11,4.66,12.3,24.7,42.7,0,0,0.23
重成 達郎,2604,三国,8,56,5,3.82,8.9,12.5,32.1,0,0,0.19
重成 達郎,2604,びわこ,5,39,7,5.67,17.9,33.3,61.5,2,1,0.2
重成 達郎,2604,住之江,7,55,4,4.84,7.2,29.0,50.9,0,0,0.19
重成 達郎,2604,尼崎,11,90,14,5.23,15.5,34.4,51.1,1,0,0.2
重成 達郎,2604,鳴門,16,142,21,5.01,14.7,28.1,46.4,1,0,0.2
重成 達郎,2604,丸亀,31,277,53,5.31,19.1,36.1,50.1,2,0,0.2
重成 達郎,2604,児島,10,96,10,4.84,10.4,31.2,47.9,0,0,0.23
重成 達郎,2604,宮島,8,75,11,4.77,14.6,30.6,45.3,0,0,0.19
重成 達郎,2604,徳山,13,130,18,5.29,13.8,36.9,49.2,2,0,0.21
重成 達郎,2604,下関,11,94,10,4.62,10.6,24.4,40.4,0,0,0.21
重成 達郎,2604,若松,5,47,3,4.0,6.3,19.1,31.9,0,0,0.24
重成 達郎,2604,芦屋,9,90,12,4.59,13.3,25.5,38.8,0,0,0.2
重成 達郎,2604,福岡,8,79,13,5.39,16.4,32.9,51.9,1,0,0.2
重成 達郎,2604,唐津,9,68,9,4.69,13.2,30.8,35.2,0,0,0.24
重成 達郎,2604,大村,13,102,12,4.86,11.7,27.4,45.1,0,0,0.23
