name,regno,艇番,出走数,1 コース,2 コース,3 コース,4 コース,5 コース,6 コース,その他
大嶋 一也,3010,1 号艇,971,959,7,1,0,0,0,4
大嶋 一也,3010,2 号艇,750,306,425,12,3,3,0,1
大嶋 一也,3010,3 号艇,708,254,284,150,14,2,4,0
大嶋 一也,3010,4 号艇,694,234,265,109,66,13,7,0
大嶋 一也,3010,5 号艇,630,174,281,99,35,27,14,0
大嶋 一也,3010,6 号艇,710,219,317,108,27,11,28,0
