name,regno,場,出場節数,出走数,1着数,勝率,1着率,2連対率,3連対率,優出,優勝,平均ST
横山 進一,2253,桐生,7,48,4,4.33,8.3,25.0,45.8,0,0,0.27
横山 進一,2253,戸田,9,68,9,5.34,13.2,33.8,54.4,1,0,0.23
横山 進一,2253,江戸川,3,25,3,4.76,12.0,28.0,44.0,0,0,0.25
横山 進一,2253,平和島,9,71,15,5.46,21.1,36.6,57.7,2,0,0.25
横山 進一,2253,多摩川,6,51,8,5.08,15.6,31.3,52.9,0,0,0.22
横山 進一,2253,浜名湖,8,67,12,5.61,17.9,37.3,64.1,0,0,0.24
横山 進一,2253,蒲郡,9,81,9,4.96,11.1,29.6,45.6,1,0,0.27
横山 進一,2253,常滑,12,103,23,5.4,22.3,36.8,54.3,0,0,0.23
横山 進一,2253,津,24,202,52,5.84,25.7,42.5,57.4,8,0,0.23
横山 進一,2253,三国,10,85,15,5.32,17.6,31.7,50.5,0,0,0.25
横山 進一,2253,びわこ,8,64,7,4.81,10.9,21.8,43.7,1,0,0.24
横山 進一,2253,住之江,5,42,3,5.02,7.1,26.1,45.2,0,0,0.22
横山 進一,2253,尼崎,2,16,1,4.44,6.2,25.0,43.7,0,0,0.24
横山 進一,2253,鳴門,6,48,8,5.42,16.6,35.4,56.2,2,0,0.24
横山 進一,2253,丸亀,6,49,8,4.78,16.3,34.6,46.9,0,0,0.23
横山 進一,2253,児島,6,50,7,4.58,14.0,24.0,42.0,0,0,0.24
横山 進一,2253,宮島,4,43,8,5.49,18.6,34.8,55.8,1,0,0.21
横山 進一,2253,徳山,7,67,5,4.25,7.4,20.9,37.3,0,0,0.27
横山 進一,2253,下関,6,49,9,5.59,18.3,34.6,53.0,2,0,0.26
横山 進一,2253,若松,4,43,11,5.86,25.5,44.1,58.1,0,0,0.25
横山 進一,2253,芦屋,2,17,3,4.24,17.6,29.4,29.4,0,0,0.21
横山 進一,2253,福岡,1,10,2,5.0,20.0,30.0,50.0,0,0,0.25
横山 進一,2253,唐津,2,16,3,6.06,18.7,50.0,68.7,1,0,0.26
横山 進一,2253,大村,7,56,7,5.55,12.5,39.2,57.1,1,0,0.26
