name,regno,レース,出走数,1着数,勝率,1着率,2連対率,3連対率,平均ST,平均ST順
香川 素子,3900,女子戦,3785,966,6.45,25.5,47.6,66.7,0.19,3.1
香川 素子,3900,混合戦,1755,233,5.08,13.2,29.4,47.6,0.18,3.3
