name,regno,場,出場節数,出走数,1着数,勝率,1着率,2連対率,3連対率,優出,優勝,平均ST
藤井 泰治,2948,桐生,16,126,29,6.07,23.0,46.0,61.1,5,0,0.25
藤井 泰治,2948,戸田,18,147,25,5.89,17.0,43.5,59.8,3,0,0.23
藤井 泰治,2948,江戸川,11,88,19,5.78,21.5,36.3,55.6,1,0,0.25
藤井 泰治,2948,平和島,11,97,22,5.96,22.6,42.2,60.8,3,1,0.23
藤井 泰治,2948,多摩川,11,93,17,5.62,18.2,34.4,55.9,3,0,0.24
藤井 泰治,2948,浜名湖,13,101,24,6.07,23.7,47.5,66.3,4,1,0.22
藤井 泰治,2948,蒲郡,10,82,12,5.61,14.6,41.4,58.5,2,0,0.26
藤井 泰治,2948,常滑,13,116,22,5.5,18.9,36.2,50.8,1,0,0.24
藤井 泰治,2948,津,10,78,13,5.65,16.6,35.9,58.9,2,0,0.25
藤井 泰治,2948,三国,22,172,36,5.92,20.9,43.0,61.6,5,0,0.24
藤井 泰治,2948,びわこ,15,127,16,5.52,12.6,38.5,58.2,2,1,0.25
藤井 泰治,2948,住之江,14,117,26,5.68,22.2,43.5,56.4,2,0,0.22
藤井 泰治,2948,尼崎,19,146,26,5.53,17.8,37.6,56.1,6,0,0.23
藤井 泰治,2948,鳴門,20,164,33,5.64,20.1,37.8,60.3,4,1,0.22
藤井 泰治,2948,丸亀,14,134,29,5.93,21.6,41.7,58.9,3,0,0.24
藤井 泰治,2948,児島,18,166,38,5.89,22.8,45.1,60.2,5,2,0.25
藤井 泰治,2948,宮島,38,374,65,5.91,17.3,40.6,61.5,8,1,0.24
藤井 泰治,2948,徳山,16,130,20,5.66,15.3,37.6,53.8,2,0,0.25
藤井 泰治,2948,下関,16,152,27,5.84,17.7,39.4,61.8,2,1,0.24
藤井 泰治,2948,若松,11,107,26,6.21,24.3,51.4,61.6,2,0,0.21
藤井 泰治,2948,芦屋,11,95,16,5.63,16.8,38.9,56.8,2,0,0.22
藤井 泰治,2948,福岡,18,151,31,5.73,20.5,39.7,58.9,3,0,0.24
藤井 泰治,2948,唐津,16,137,25,5.95,18.2,37.2,61.3,3,0,0.23
藤井 泰治,2948,大村,11,99,24,6.17,24.2,44.4,64.6,4,1,0.22
