name,regno,艇番,出走数,1 コース,2 コース,3 コース,4 コース,5 コース,6 コース,その他
畑 竜生,4962,1 号艇,206,206,0,0,0,0,0,0
畑 竜生,4962,2 号艇,237,2,221,13,1,0,0,0
畑 竜生,4962,3 号艇,241,0,4,225,10,1,1,0
畑 竜生,4962,4 号艇,321,0,1,5,243,33,39,0
畑 竜生,4962,5 号艇,372,0,1,1,15,278,76,1
畑 竜生,4962,6 号艇,370,0,1,0,5,26,338,0
