name,regno,レース,出走数,1着数,勝率,1着率,2連対率,3連対率,平均ST,平均ST順
鈴木 綾,3763,女子戦,234,49,5.56,20.9,41.4,52.9,0.23,3.3
鈴木 綾,3763,混合戦,194,36,5.57,18.5,39.6,56.1,0.23,3.1
