name,regno,レース,出走数,1着数,勝率,1着率,2連対率,3連対率,平均ST,平均ST順
内田 亜希子,4125,女子戦,1457,53,3.71,3.6,14.2,30.7,0.25,4.3
内田 亜希子,4125,混合戦,490,4,2.57,0.8,6.1,14.6,0.26,4.5
