name,regno,レース,出走数,1着数,勝率,1着率,2連対率,3連対率,平均ST,平均ST順
木村 厚子,3196,女子戦,212,12,4.58,5.6,24.5,42.4,0.26,3.9
木村 厚子,3196,混合戦,353,24,4.41,6.8,24.0,39.3,0.25,3.5
