name,regno,コース,出走数,1着数,1着率,2連対率,3連対率,平均ST,平均ST順
大賀 広幸,3427,1 コース,1427,909,63.7,80.8,88.0,0.17,2.9
大賀 広幸,3427,2 コース,1152,308,26.7,54.2,68.8,0.18,3.5
大賀 広幸,3427,3 コース,946,184,19.4,48.4,68.0,0.18,3.4
大賀 広幸,3427,4 コース,876,128,14.6,36.0,60.0,0.19,3.8
大賀 広幸,3427,5 コース,756,63,8.3,28.7,48.5,0.18,3.8
大賀 広幸,3427,6 コース,411,14,3.4,11.4,28.9,0.19,4.2
