name,regno,レース,出走数,1着数,勝率,1着率,2連対率,3連対率,平均ST,平均ST順
高橋 知絵,3937,女子戦,232,2,1.86,0.8,3.4,6.4,0.25,3.5
高橋 知絵,3937,混合戦,367,0,1.43,0.0,0.8,2.1,0.26,3.6
